IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,439.40",720.87,636.33,26.57,174.67
매출원가,858.38,544.86,474.73,33.99,134.91
매출총이익,581.01,176.02,161.60,-7.42,39.75
판매비와관리비,206.08,179.73,219.43,48.78,43.61
인건비,87.59,77.34,77.23,21.47,20.46
유무형자산상각비,14.99,17.60,18.48,4.60,4.35
연구개발비,42.02,27.41,55.15,11.03,5.93
광고선전비,0.42,0.18,0.37,0.87,0.0
판매비,16.86,6.54,25.71,1.76,0.79
관리비,44.19,50.65,42.48,9.05,12.08
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.0,0.00,0.0,0.00
영업이익,374.94,-3.71,-57.83,-56.20,-3.86
영업이익(발표기준),374.94,-3.71,-57.83,-56.20,-3.86
금융수익,57.31,31.83,39.37,3.03,16.31
이자수익,2.67,7.00,2.23,1.07,0.45
배당금수익,0.0,0.39,0.0,0.0,0.0
외환이익,44.92,11.64,35.22,1.18,15.76
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,1.17,0.39,0.0
금융자산평가이익,0.62,5.59,0.63,0.13,0.10
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,9.09,7.20,0.08,0.06,0.0
기타금융수익,0.0,0.0,0.04,0.19,0.0
금융원가,55.69,32.55,12.85,9.82,2.97
이자비용,12.94,4.62,0.96,1.81,0.19
외환손실,24.58,8.40,9.18,2.25,2.78
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.21,0.02,0.0
금융자산평가손실,0.0,0.37,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,18.17,19.16,2.49,5.74,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,6.94,4.41,8.74,0.62,1.05
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,2.03,0.39,0.40,0.18,0.23
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,1.46,2.61,0.20,0.0,0.37
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.62,0.37,0.48,0.12,0.12
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.61,0.15,0.24,0.15,0.16
충당부채환입액,0.0,0.0,0.0,0.02,0.0
기타,2.22,0.89,7.43,0.15,0.16
기타비용,13.67,5.23,10.95,0.38,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,7.25,0.17,4.70,0.26,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,2.43,1.38,5.85,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.99,3.68,0.41,0.11,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,-25.89,-24.54,1.15,0.0
지분법손익,0.0,-25.89,-24.54,1.15,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,369.83,-31.14,-58.05,-61.60,10.51
법인세비용,91.85,-15.96,3.68,-10.96,4.77
계속영업이익,277.98,-15.18,-61.74,-50.64,5.74
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,277.98,-15.18,-61.74,-50.64,5.74
지배주주순이익,275.47,-12.90,-58.58,-47.52,6.23
비지배주주순이익,2.51,-2.29,-3.15,-3.12,-0.48
