IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,554.74,826.65,"1,330.98",506.28,206.92
매출원가,466.98,695.65,"1,183.37",421.00,173.76
매출총이익,87.76,131.00,147.61,85.28,33.16
판매비와관리비,162.44,149.62,196.99,77.53,41.32
인건비,69.04,68.42,66.75,32.52,16.37
유무형자산상각비,12.84,17.33,24.15,7.83,5.11
연구개발비,14.88,16.45,21.89,5.93,4.73
광고선전비,2.13,1.94,1.65,0.44,0.18
판매비,21.28,-4.77,12.00,0.34,0.01
관리비,28.11,35.39,52.47,22.17,10.92
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,14.16,14.86,18.08,8.31,4.00
영업이익,-74.68,-18.62,-49.38,7.75,-8.16
영업이익(발표기준),-74.68,-18.62,-49.38,7.75,-8.16
금융수익,176.88,77.75,126.38,15.68,22.70
이자수익,8.15,7.83,9.00,3.58,1.06
배당금수익,0.0,0.08,0.11,0.0,0.0
외환이익,10.72,3.02,60.12,7.09,0.83
대손충당금환입액,0.0,0.0,0.06,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,72.62,3.57,1.01,0.00,1.01
금융자산평가이익,32.06,63.24,25.86,2.26,0.53
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,53.32,0.0,30.23,2.74,19.27
금융원가,179.73,40.79,110.73,50.48,52.26
이자비용,7.72,13.28,16.76,15.46,0.59
외환손실,7.13,1.79,2.93,8.19,0.00
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,2.24,1.87,9.93,0.0,0.0
금융자산평가손실,162.64,1.15,81.11,26.05,51.66
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,22.71,0.0,0.78,0.0
기타수익,76.64,35.98,139.11,0.50,0.22
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.06,0.11,1.27,0.02,0.09
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.07,0.06,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,74.40,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.71,0.0,0.0
기타,2.17,35.87,137.07,0.42,0.13
기타비용,6.42,5.93,17.23,0.68,0.21
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,4.45,0.23,0.03,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.13,4.19,12.44,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.69,0.06,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.83,0.83,4.70,0.68,0.21
"종속기업,공동지배기업및관계기업관련손익",-120.56,-42.88,-66.70,23.97,-6.28
지분법손익,0.0,0.0,0.0,24.05,-6.28
"종속기업,공동지배기업및관계기업투자주식처분손익",-120.56,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,-0.08,0.0
기타,0.0,-42.88,-66.70,0.0,0.0
세전계속사업이익,-127.87,5.50,21.45,-3.27,-43.99
법인세비용,-2.57,-1.32,-14.27,1.59,-0.31
계속영업이익,-125.30,6.82,35.72,-4.86,-43.68
중단영업이익,5.91,0.0,-129.64,0.0,0.0
당기순이익,-119.39,6.82,-93.92,-4.86,-43.68
지배주주순이익,-166.27,-38.44,-52.37,-17.94,-50.83
비지배주주순이익,46.88,45.25,-41.55,13.08,7.15
