IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,124.60","1,179.52","1,310.56",429.43,374.72
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,"1,124.60","1,179.52","1,310.56",429.43,374.72
판매비와관리비,939.46,996.11,"1,108.13",344.28,299.02
인건비,220.97,271.02,284.00,69.65,63.83
유무형자산상각비,24.76,35.10,32.88,7.96,8.51
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,9.71,16.67,20.17,3.68,3.14
판매비,11.70,11.85,9.23,2.58,2.07
관리비,154.38,175.89,203.27,42.94,46.00
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,517.94,485.57,558.57,217.47,175.48
영업이익,185.14,183.41,202.44,85.15,75.69
영업이익(발표기준),185.14,183.41,202.44,85.15,75.69
금융수익,21.77,39.03,40.70,9.89,9.98
이자수익,17.56,34.61,40.08,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.01,0.0,0.0,0.0
금융자산평가이익,4.21,4.41,0.62,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,9.89,9.98
금융원가,2.94,16.83,10.21,1.46,2.31
이자비용,2.53,11.33,7.83,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.11,4.16,2.01,0.0,0.0
금융자산평가손실,0.30,1.35,0.38,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,1.46,2.31
기타수익,4.16,7.42,7.67,2.72,2.38
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.03,0.04,0.02,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.02,0.05,0.01,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.11,7.33,7.64,2.72,2.38
기타비용,5.01,162.79,67.95,0.32,0.14
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.00,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.85,0.31,0.18,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,160.01,63.26,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.16,2.47,4.50,0.32,0.14
"종속기업,공동지배기업및관계기업관련손익",0.03,-1.05,0.0,0.0,-0.72
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.03,-1.05,0.0,0.0,-0.72
세전계속사업이익,203.16,49.19,172.64,95.97,84.88
법인세비용,51.48,54.51,53.41,21.58,18.10
계속영업이익,151.68,-5.32,119.23,74.39,66.78
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,151.68,-5.32,119.23,74.39,66.78
지배주주순이익,151.68,-5.32,119.23,74.39,66.78
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
