IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,158.27","2,634.51","1,675.88",534.05,619.67
매출원가,"3,247.03","2,288.51","1,492.90",462.56,496.33
매출총이익,911.24,346.00,182.98,71.49,123.34
판매비와관리비,571.89,491.98,488.11,110.99,119.86
인건비,147.48,128.50,138.95,29.70,35.28
유무형자산상각비,19.99,18.28,16.70,3.98,4.30
연구개발비,298.54,247.46,250.22,61.44,62.40
광고선전비,0.64,0.34,0.37,0.30,0.0
판매비,36.21,24.41,7.14,1.53,1.21
관리비,61.23,67.62,71.52,13.61,16.11
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,7.80,5.37,3.22,0.44,0.56
영업이익,339.35,-145.99,-305.13,-39.50,3.47
영업이익(발표기준),339.35,-145.99,-305.13,-39.50,3.47
금융수익,26.31,33.10,55.22,4.22,12.03
이자수익,15.18,27.84,27.98,3.09,8.84
배당금수익,0.0,0.0,0.06,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.20,0.0,0.0,0.0
금융자산평가이익,1.15,4.52,7.68,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,9.99,0.54,7.02,1.14,3.19
기타금융수익,0.0,0.0,12.48,0.0,0.0
금융원가,58.78,68.23,74.33,15.41,20.41
이자비용,35.73,65.61,64.95,14.04,16.90
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.71,4.36,0.0,2.40
금융자산평가손실,5.07,0.14,1.57,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,17.98,1.77,3.43,1.37,1.10
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,276.92,120.93,123.16,12.30,38.83
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,268.01,104.67,95.31,9.21,34.78
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.66,1.46,17.02,0.19,0.93
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,8.25,14.80,10.84,2.90,3.12
기타비용,239.29,91.01,276.58,8.64,26.23
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,218.00,83.21,71.42,7.37,26.15
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.32,1.44,8.12,0.08,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,187.68,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,19.97,6.37,9.36,1.19,0.08
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,344.51,-151.20,-477.65,-47.03,7.70
법인세비용,15.09,-29.44,-30.31,-17.29,1.68
계속영업이익,329.42,-121.76,-447.34,-29.74,6.01
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,329.42,-121.76,-447.34,-29.74,6.01
지배주주순이익,334.37,-118.25,-444.59,-28.73,6.63
비지배주주순이익,-4.95,-3.51,-2.75,-1.01,-0.62
