IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,908.11","3,016.36","2,518.01",583.16,748.61
매출원가,"2,347.20","2,447.62","2,261.15",545.54,621.33
매출총이익,560.91,568.74,256.85,37.61,127.28
판매비와관리비,233.35,266.71,339.07,76.49,81.97
인건비,101.24,114.02,147.19,34.94,33.87
유무형자산상각비,6.77,12.20,12.94,3.07,3.57
연구개발비,13.81,11.78,20.25,2.53,5.73
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,53.53,59.49,58.60,18.12,15.04
관리비,33.71,37.94,65.25,11.68,16.11
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,24.29,31.28,34.84,6.14,7.65
영업이익,327.56,302.03,-82.21,-38.88,45.31
영업이익(발표기준),327.56,302.03,-82.21,-38.88,45.31
금융수익,2.87,7.00,22.28,1.31,15.64
이자수익,2.63,6.86,8.59,1.28,2.51
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,13.56,0.0,10.76
금융자산평가이익,0.07,0.14,0.14,0.03,2.38
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.17,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,21.18,37.98,50.84,13.50,12.28
이자비용,21.13,37.98,50.84,13.50,12.28
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.03,0.00,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.03,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,205.42,125.93,124.85,19.98,28.95
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,130.14,116.69,110.04,19.48,27.74
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.95,0.42,1.67,0.01,0.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.88,0.0,0.78
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,74.33,8.82,12.26,0.49,0.41
기타비용,213.36,100.05,46.26,10.92,10.58
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,152.48,87.92,40.83,10.39,10.15
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,4.02,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,52.94,7.16,0.44,0.41,0.25
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,4.03,0.87,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.92,0.95,4.12,0.12,0.17
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,301.31,296.93,-32.18,-42.01,67.04
법인세비용,56.33,34.70,-38.58,-12.57,7.69
계속영업이익,244.98,262.23,6.39,-29.44,59.35
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,244.98,262.23,6.39,-29.44,59.35
지배주주순이익,244.98,262.23,6.39,-29.44,59.35
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
