IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,561.71","2,069.35","2,431.70",636.26,608.99
매출원가,"2,056.78","2,068.29","2,208.01",577.09,538.19
매출총이익,504.94,1.06,223.69,59.17,70.80
판매비와관리비,324.65,331.07,356.40,89.96,86.70
인건비,150.90,145.59,160.20,39.88,36.54
유무형자산상각비,14.79,14.99,17.44,5.15,3.93
연구개발비,54.70,54.04,52.31,13.76,13.95
광고선전비,0.56,0.44,0.41,0.13,0.11
판매비,10.17,21.55,18.35,3.86,4.92
관리비,93.53,94.45,107.69,27.18,27.25
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,180.28,-330.01,-132.71,-30.80,-15.90
영업이익(발표기준),180.28,-330.01,-132.71,-30.80,-15.90
금융수익,14.70,28.99,39.44,9.04,10.54
이자수익,12.20,25.68,35.85,8.18,9.69
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,2.50,3.31,3.58,0.86,0.85
금융원가,23.67,29.20,25.17,5.87,6.16
이자비용,21.17,25.74,21.03,4.85,5.18
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,2.50,3.46,4.14,1.03,0.98
기타수익,346.82,193.43,175.42,15.76,33.54
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,327.93,163.28,157.97,12.49,29.76
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,15.03,3.98,0.33,0.50
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,7.92,10.25,9.49,2.48,2.50
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,10.95,4.87,3.98,0.45,0.78
기타비용,310.32,211.25,163.96,10.93,29.55
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,304.35,152.83,158.79,10.53,26.51
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,4.28,4.70,0.0,2.81
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,49.77,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,5.97,4.38,0.48,0.39,0.22
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,207.82,-348.04,-106.99,-22.80,-7.52
법인세비용,-14.89,29.95,3.03,0.0,0.0
계속영업이익,222.71,-377.99,-110.03,-22.80,-7.52
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,222.71,-377.99,-110.03,-22.80,-7.52
지배주주순이익,218.65,-381.37,-113.78,-22.80,-8.07
비지배주주순이익,4.06,3.38,3.75,0.0,0.55
