IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,648.37","2,651.20","2,911.38",762.69,684.04
매출원가,"1,593.51","1,590.61","1,776.04",454.89,411.93
매출총이익,"1,054.86","1,060.59","1,135.34",307.80,272.11
판매비와관리비,856.79,951.30,"1,108.76",275.45,264.02
인건비,312.15,349.91,400.64,93.34,94.23
유무형자산상각비,33.34,38.49,47.52,13.06,13.04
연구개발비,269.74,269.95,302.62,74.13,73.14
광고선전비,29.48,34.60,45.69,13.39,12.28
판매비,20.51,28.16,49.45,18.92,11.75
관리비,150.35,194.16,218.30,53.21,49.43
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,41.23,36.01,44.53,9.38,10.15
영업이익,198.07,109.29,26.58,32.35,8.10
영업이익(발표기준),198.07,109.29,26.58,32.35,8.10
금융수익,46.87,57.63,73.66,14.98,10.99
이자수익,21.19,19.74,19.95,7.45,4.03
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,25.69,37.89,53.72,7.53,6.95
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,77.01,71.73,82.45,25.67,35.07
이자비용,18.70,29.79,68.59,18.99,14.59
외환손실,58.30,41.94,13.87,6.67,20.48
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,161.73,88.94,269.95,42.12,35.13
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,74.54,48.25,58.39,24.15,17.86
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,26.74,37.25,0.89,0.0
자산처분(폐기)이익,32.25,0.04,142.21,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,48.98,7.00,0.07,14.96,15.68
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,5.97,6.90,32.03,2.11,1.59
기타비용,114.64,103.03,253.77,33.07,12.92
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,49.76,38.99,25.63,22.35,6.38
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,5.00,10.59,73.07,0.0,0.0
자산처분(폐기)손실,0.87,1.21,2.76,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,38.14,77.93,0.0,0.0
파생상품손실,55.63,8.91,65.26,10.53,6.48
기타대손상각비,0.0,3.50,2.08,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.38,1.70,7.04,0.18,0.06
"종속기업,공동지배기업및관계기업관련손익",-23.50,-19.78,-17.45,-1.35,-7.08
지분법손익,-23.50,-19.78,-17.45,-1.35,-7.08
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,191.53,61.33,16.52,29.36,-0.85
법인세비용,32.46,27.28,36.05,7.26,2.76
계속영업이익,159.08,34.04,-19.53,22.10,-3.61
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,159.08,34.04,-19.53,22.10,-3.61
지배주주순이익,161.38,37.09,-17.94,26.02,-2.61
비지배주주순이익,-2.30,-3.05,-1.59,-3.92,-1.00
