IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,913.58,"1,254.33","1,712.79",400.41,317.19
매출원가,846.58,"1,102.48","1,444.92",329.69,261.92
매출총이익,67.00,151.86,267.88,70.72,55.28
판매비와관리비,144.28,195.40,298.60,53.30,90.61
인건비,73.56,88.50,125.93,31.89,30.08
유무형자산상각비,3.75,4.85,9.16,1.52,1.67
연구개발비,33.79,62.23,76.21,7.58,15.93
광고선전비,2.81,1.87,2.20,0.20,0.43
판매비,0.10,0.54,0.12,0.0,0.0
관리비,29.97,36.77,84.65,12.03,42.46
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.29,0.62,0.34,0.08,0.04
영업이익,-77.28,-43.54,-30.72,17.42,-35.33
영업이익(발표기준),-77.28,-43.54,-30.72,17.42,-35.33
금융수익,101.46,124.64,82.93,8.58,7.46
이자수익,28.46,34.32,31.69,8.38,7.39
배당금수익,0.00,0.02,0.47,0.05,0.07
외환이익,0.0,0.25,0.02,0.14,0.00
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,72.99,83.54,50.75,0.0,0.0
기타금융수익,0.0,6.51,0.0,0.0,0.0
금융원가,32.62,26.73,13.47,4.97,2.99
이자비용,15.28,14.34,13.23,4.97,2.86
외환손실,0.0,0.12,0.24,0.00,0.13
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,17.34,12.27,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,37.67,14.60,16.05,1.67,5.87
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,35.25,12.62,9.54,1.00,3.16
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.13,0.0,0.27,0.14,0.17
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.24,0.22,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.05,1.76,6.24,0.53,2.54
기타비용,21.84,8.45,23.46,3.46,2.39
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,20.30,7.63,9.89,3.36,1.78
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.01,1.52,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,5.74,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,3.15,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.55,0.81,3.16,0.10,0.61
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,7.39,60.53,31.33,19.25,-27.38
법인세비용,35.48,-354.13,-31.16,6.53,2.41
계속영업이익,-28.09,414.66,62.49,12.72,-29.79
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-28.09,414.66,62.49,12.72,-29.79
지배주주순이익,-22.73,438.82,79.10,19.23,-24.32
비지배주주순이익,-5.36,-24.16,-16.61,-6.51,-5.47
