IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,530.29","2,523.71","2,464.60",874.85,655.51
매출원가,"1,061.90","1,013.34",881.37,301.66,211.32
매출총이익,"1,468.39","1,510.37","1,583.23",573.19,444.19
판매비와관리비,"1,432.92","1,568.48","1,481.01",382.10,393.28
인건비,304.29,340.39,322.17,82.98,74.78
유무형자산상각비,40.07,44.80,34.54,8.47,5.38
연구개발비,198.66,283.22,370.00,114.60,77.05
광고선전비,261.20,220.68,149.05,34.99,67.14
판매비,19.62,28.89,22.84,6.15,6.38
관리비,587.27,619.91,555.50,125.06,155.28
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,21.82,30.58,26.92,9.85,7.27
영업이익,35.46,-58.11,102.22,191.08,50.91
영업이익(발표기준),35.46,-58.11,102.22,191.08,50.91
금융수익,6.26,9.77,10.99,3.03,3.44
이자수익,6.26,9.77,10.99,3.03,3.44
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.72,9.68,43.62,14.46,7.13
이자비용,1.72,9.68,43.62,14.46,7.13
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,9.25,16.33,48.69,77.54,2.53
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.78,0.83,1.15,0.24,0.32
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,1.70,1.36,0.00,0.00,0.00
자산처분(폐기)이익,0.31,0.76,40.22,76.08,0.24
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.65,2.50,0.41,0.96,0.00
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.82,10.88,6.91,0.26,1.96
기타비용,39.97,97.09,166.73,0.32,1.58
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.61,0.09,0.01,0.02,0.00
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,4.62,24.72,0.22,0.0
자산처분(폐기)손실,0.95,5.81,0.72,0.00,0.23
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,33.26,80.48,131.19,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,4.42,3.22,9.05,0.0,0.99
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.72,2.88,1.04,0.07,0.35
"종속기업,공동지배기업및관계기업관련손익",-5.98,3.42,2.67,1.84,1.81
지분법손익,-5.98,3.42,2.67,1.84,1.81
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,3.31,-135.37,-45.78,258.72,49.98
법인세비용,13.53,-11.78,-16.81,32.09,11.53
계속영업이익,-10.22,-123.59,-28.97,226.63,38.45
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-10.22,-123.59,-28.97,226.63,38.45
지배주주순이익,-10.16,-123.59,-28.97,226.63,38.45
비지배주주순이익,-0.06,0.0,0.0,0.0,0.0
