IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,104.20,62.41,70.41,16.39,13.69
매출원가,83.60,49.09,63.81,16.68,10.39
매출총이익,20.59,13.31,6.60,-0.28,3.30
판매비와관리비,81.27,74.83,67.53,12.93,15.64
인건비,25.33,27.49,27.73,4.81,6.82
유무형자산상각비,12.93,11.46,9.69,0.78,2.89
연구개발비,0.04,0.08,0.22,0.01,0.06
광고선전비,0.66,0.31,0.27,0.25,0.04
판매비,5.95,2.49,4.80,0.68,1.49
관리비,36.37,33.00,24.82,6.40,4.33
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-60.68,-61.52,-60.93,-13.22,-12.34
영업이익(발표기준),-60.68,-61.52,-60.93,-13.22,-12.34
금융수익,406.71,513.57,9.25,1.93,2.53
이자수익,18.23,12.89,9.25,1.93,2.53
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,36.46,390.41,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,149.84,0.61,0.0,0.0,0.0
기타금융수익,202.18,109.67,0.0,0.0,0.0
금융원가,"2,117.24",9.39,0.52,0.22,0.13
이자비용,36.86,2.62,0.51,0.20,0.13
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,"1,826.22",0.09,0.01,0.02,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,129.79,0.0,0.0,0.0,0.0
기타금융원가,124.37,6.68,0.0,0.0,0.0
기타수익,433.03,412.77,225.91,31.83,95.93
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.01,0.76,0.60,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,1.00,0.12,0.06,0.0,0.06
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,432.03,412.64,225.09,31.23,95.86
기타비용,0.83,736.84,12.48,0.00,0.07
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.65,2.44,0.0,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,9.92,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.01,0.24,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.82,735.94,0.11,0.00,0.07
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"-1,339.02",118.59,161.22,20.32,85.92
법인세비용,-169.53,0.0,0.0,0.0,0.0
계속영업이익,"-1,169.49",118.59,161.22,20.32,85.92
중단영업이익,-2.69,-5.15,0.0,0.0,0.0
당기순이익,"-1,172.18",113.44,161.22,20.32,85.92
