IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,462.85,511.01,601.47,147.00,140.34
매출원가,287.53,340.60,359.97,83.30,90.53
매출총이익,175.32,170.42,241.49,63.69,49.81
판매비와관리비,110.25,120.11,139.35,35.63,31.67
인건비,53.59,55.30,62.59,13.02,14.58
유무형자산상각비,4.49,3.99,3.43,0.81,0.85
연구개발비,18.43,25.24,31.03,7.62,7.01
광고선전비,3.83,5.36,5.39,2.06,0.62
판매비,11.29,10.12,11.80,3.53,2.45
관리비,17.85,19.09,24.28,8.39,5.77
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.78,1.02,0.82,0.20,0.39
영업이익,65.06,50.31,102.15,28.06,18.14
영업이익(발표기준),65.06,50.31,102.15,28.06,18.14
금융수익,3.40,3.23,14.81,1.48,1.91
이자수익,0.18,0.30,1.05,0.50,0.05
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,3.22,2.92,7.91,0.97,1.86
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,5.86,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,9.14,9.36,12.39,4.60,1.37
이자비용,5.67,7.29,10.69,4.55,1.03
외환손실,3.48,2.06,1.70,0.05,0.35
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,14.17,6.50,15.07,1.37,4.09
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,12.52,6.06,14.27,1.32,4.00
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.01,0.00,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.65,0.43,0.80,0.06,0.09
기타비용,9.19,13.81,4.46,1.60,0.66
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,8.16,6.12,4.25,1.54,0.57
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.00,0.03,0.00,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,7.36,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.03,0.33,0.19,0.07,0.09
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-5.37,-0.52,0.0
지분법손익,0.0,0.0,-5.37,-0.52,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,64.30,36.88,109.81,24.20,22.11
법인세비용,10.46,2.62,17.16,3.87,3.54
계속영업이익,53.84,34.25,92.65,20.33,18.57
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,53.84,34.25,92.65,20.33,18.57
