IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,248.47,358.69,363.12,89.89,81.18
매출원가,203.91,293.04,268.26,56.59,70.18
매출총이익,44.56,65.65,94.86,33.29,11.00
판매비와관리비,46.32,61.44,119.46,38.97,14.02
인건비,21.66,37.82,67.38,19.54,8.58
유무형자산상각비,3.50,5.44,14.28,5.72,1.38
연구개발비,0.01,0.10,0.04,0.08,0.00
광고선전비,2.03,0.74,2.28,0.71,0.30
판매비,0.17,0.50,1.29,0.00,0.21
관리비,18.94,16.85,34.18,12.91,3.55
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-1.75,4.21,-24.60,-5.68,-3.02
영업이익(발표기준),-1.75,4.21,-24.60,-5.68,-3.02
금융수익,21.00,26.81,24.19,2.01,6.22
이자수익,5.10,7.00,6.86,1.34,2.08
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,7.02,4.11,12.45,0.57,4.14
대손충당금환입액,0.11,0.0,0.0,0.10,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,2.43,0.16,0.0,0.0
금융자산평가이익,3.56,7.88,4.71,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,5.31,0.0,0.0,0.0
기타금융수익,5.22,0.08,0.00,0.0,0.0
금융원가,21.91,18.64,21.96,2.71,0.73
이자비용,10.89,2.47,3.12,0.69,0.51
외환손실,4.05,5.27,3.72,0.93,0.00
대손상각비,5.30,1.15,1.80,0.00,0.22
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.06,0.0,0.01,0.40,0.0
금융자산평가손실,0.0,3.48,9.56,0.69,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,1.61,6.28,3.76,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.81,0.58,1.09,0.17,0.71
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.04,0.32,0.21,0.03,0.13
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.77,0.26,0.87,0.14,0.58
기타비용,2.64,2.39,2.83,0.19,0.52
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.03,0.42,0.0,0.01,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.35,0.05,1.76,0.0,0.15
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,1.22,0.07,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.02,0.35,0.18,0.01
기타,2.26,0.68,0.65,0.01,0.37
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-3.49,10.56,-24.11,-6.40,2.65
법인세비용,-1.31,-0.12,-3.40,-0.04,0.0
계속영업이익,-2.18,10.68,-20.71,-6.36,2.65
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-2.18,10.68,-20.71,-6.36,2.65
지배주주순이익,-1.90,10.78,-17.50,-4.76,2.89
비지배주주순이익,-0.28,-0.10,-3.21,-1.60,-0.24
