IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,206.53","2,000.55","1,832.49",300.37,513.82
매출원가,"1,073.67","1,594.95","1,314.04",234.46,345.34
매출총이익,132.85,405.60,518.45,65.90,168.48
판매비와관리비,80.58,152.89,207.57,32.32,44.89
인건비,35.65,38.93,42.67,10.26,8.66
유무형자산상각비,1.79,2.16,2.02,0.53,0.49
연구개발비,1.12,5.24,15.74,2.23,6.87
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,3.80,15.42,90.08,7.67,12.78
관리비,36.86,89.50,55.51,11.15,15.75
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.35,1.64,1.54,0.47,0.34
영업이익,52.27,252.71,310.88,33.59,123.59
영업이익(발표기준),52.27,252.71,310.88,33.59,123.59
금융수익,86.35,41.17,118.40,10.79,33.33
이자수익,2.21,3.68,7.25,2.09,0.67
배당금수익,0.0,0.03,0.02,0.0,0.0
외환이익,84.11,37.36,111.11,8.68,32.65
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.01,0.0,0.0
금융자산평가이익,0.03,0.10,0.00,0.02,0.02
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.01,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,122.04,86.79,82.06,16.10,13.49
이자비용,36.34,41.90,37.01,5.90,10.43
외환손실,85.37,44.74,20.18,9.87,3.03
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.33,0.15,0.21,0.17,0.03
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,24.66,0.16,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,29.28,26.93,4.57,0.67,1.41
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.57,0.95,0.22,0.0,0.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.16,0.06,0.05
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.02,0.04,0.02,0.0,0.01
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,27.69,25.94,4.16,0.61,1.33
기타비용,6.43,0.20,5.52,46.62,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.36,0.03,0.00,0.00,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.01,0.03,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,6.06,0.13,5.52,46.62,0.02
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,39.43,233.82,346.29,-17.67,144.83
법인세비용,18.07,15.77,71.97,2.06,28.22
계속영업이익,21.36,218.05,274.32,-19.73,116.61
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,21.36,218.05,274.32,-19.73,116.61
