IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"6,802.07","5,311.03","5,824.34","1,577.91","1,328.99"
매출원가,"5,447.85","4,420.37","4,502.32","1,181.92","1,089.10"
매출총이익,"1,354.22",890.66,"1,322.02",395.98,239.89
판매비와관리비,707.76,651.91,728.69,181.38,170.79
인건비,148.95,144.78,165.49,66.38,62.49
유무형자산상각비,50.93,58.83,63.93,25.33,21.50
연구개발비,172.31,193.40,222.67,16.81,18.69
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,152.46,121.00,108.12,29.78,26.40
관리비,85.32,71.88,99.47,26.00,26.59
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,97.80,62.01,69.01,17.08,15.12
영업이익,646.45,238.74,593.32,214.60,69.10
영업이익(발표기준),646.45,238.74,593.32,214.60,69.10
금융수익,176.97,81.05,100.80,15.50,23.88
이자수익,10.77,14.62,17.84,2.95,3.08
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,166.19,66.42,82.96,12.55,20.80
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,177.80,152.02,142.51,41.74,37.67
이자비용,37.73,89.63,101.66,32.18,29.64
외환손실,140.07,62.39,40.84,9.56,8.04
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,56.79,16.83,24.06,9.07,4.26
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,38.11,0.70,0.46,0.69,0.06
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,6.96,8.83,14.23,4.84,1.94
기타,11.72,7.30,9.36,3.54,2.26
기타비용,88.99,300.54,16.51,5.90,1.90
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.24,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.61,1.47,2.21,0.49,0.55
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,81.71,291.52,0.05,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.03,0.0,0.0,0.07,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,6.64,7.30,14.24,5.35,1.35
"종속기업,공동지배기업및관계기업관련손익",24.77,-82.49,-28.56,-2.36,0.92
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,24.77,-82.49,-28.56,-2.36,0.92
세전계속사업이익,638.19,-198.44,530.61,189.17,58.59
법인세비용,188.17,33.39,206.63,48.83,10.18
계속영업이익,450.02,-231.82,323.97,140.34,48.41
중단영업이익,0.0,-0.62,-26.68,0.96,2.91
당기순이익,450.02,-232.45,297.29,141.31,51.32
지배주주순이익,468.05,-174.93,311.13,145.11,54.74
비지배주주순이익,-18.03,-57.52,-13.84,-3.81,-3.42
