IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"6,209.82","3,791.52","3,395.75",870.25,898.80
매출원가,"5,738.00","3,660.04","3,219.83",819.94,874.78
매출총이익,471.82,131.48,175.92,50.31,24.02
판매비와관리비,242.48,174.45,191.77,66.07,38.80
인건비,67.70,52.97,48.82,10.90,12.61
유무형자산상각비,3.53,2.09,2.35,0.49,0.67
연구개발비,8.71,4.72,2.35,0.37,0.43
광고선전비,2.99,3.44,43.73,11.99,1.04
판매비,83.92,76.17,65.07,18.13,17.28
관리비,33.67,18.28,14.61,18.25,3.39
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,41.97,16.78,14.84,5.93,3.38
영업이익,229.33,-42.97,-15.85,-15.76,-14.78
영업이익(발표기준),229.33,-42.97,-15.85,-15.76,-14.78
금융수익,59.77,41.02,31.71,6.83,10.58
이자수익,1.05,3.79,1.85,0.39,0.56
배당금수익,2.82,5.38,3.16,0.0,0.0
외환이익,52.48,30.96,20.79,6.40,4.25
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.03,0.26,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,3.39,0.63,5.91,0.05,5.77
금융원가,199.46,156.95,205.79,40.64,65.36
이자비용,75.40,117.36,145.76,34.00,35.95
외환손실,86.82,36.32,49.42,6.36,11.46
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.05,0.02,6.55,0.0,0.0
금융자산평가손실,32.37,0.0,0.01,0.0,17.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,4.82,3.25,4.05,0.28,0.95
기타수익,63.13,0.49,4.23,143.12,0.01
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,60.58,0.29,0.0,121.21,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.05,0.04,0.03,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.55,0.15,4.20,21.88,0.01
기타비용,309.28,21.64,"1,717.61",2.66,25.75
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.02,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,287.66,5.78,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,2.63,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,21.60,13.23,"1,717.61",2.66,25.75
"종속기업,공동지배기업및관계기업관련손익","3,526.56",3.27,774.90,426.09,165.73
지분법손익,"3,526.56",3.27,774.90,426.09,165.73
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"3,370.05",-176.78,"-1,128.40",516.99,70.44
법인세비용,419.49,-491.45,-77.67,-97.68,-33.86
계속영업이익,"2,950.56",314.67,"-1,050.73",614.67,104.30
중단영업이익,-198.25,-403.83,-70.03,0.0,-11.63
당기순이익,"2,752.31",-89.16,"-1,120.76",614.67,92.66
