IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"22,047.61","17,087.56","17,977.96","4,672.69","4,117.54"
매출원가,"18,684.51","13,879.58","14,893.01","4,023.32","3,340.65"
매출총이익,"3,363.10","3,207.99","3,084.95",649.37,776.90
판매비와관리비,"1,567.24","1,525.74","1,662.98",446.56,395.98
인건비,892.89,866.71,842.23,240.52,210.21
유무형자산상각비,54.09,65.14,68.19,20.43,15.97
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.99,0.33
판매비,151.49,127.49,213.00,43.44,32.56
관리비,367.47,351.20,425.69,116.69,113.97
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,101.30,115.19,113.86,24.48,22.94
영업이익,"1,795.86","1,682.25","1,421.98",202.81,380.92
영업이익(발표기준),"1,795.86","1,682.25","1,421.98",202.81,380.92
금융수익,66.60,101.32,107.68,27.82,27.41
이자수익,66.60,101.32,107.68,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,27.82,27.41
금융원가,159.41,268.28,292.05,68.85,77.47
이자비용,159.41,268.28,292.05,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,68.85,77.47
기타수익,"1,196.75",762.64,674.15,182.41,158.88
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,31.43,5.66,1.88,5.63,0.0
외환이익,"1,055.53",589.98,613.63,166.35,138.40
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,3.37,39.90,18.05,3.02,9.62
자산처분(폐기)이익,33.56,3.94,6.31,1.50,4.62
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,72.86,123.17,34.29,5.92,6.23
기타비용,"1,590.26",871.67,"1,043.05",196.32,232.89
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,"1,357.74",593.48,791.16,149.65,186.72
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,83.84,14.08,39.16,0.31,0.14
자산처분(폐기)손실,89.48,144.97,142.05,34.92,34.04
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,26.34,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,59.20,119.13,44.34,11.43,11.99
"종속기업,공동지배기업및관계기업관련손익",-5.18,2.98,22.60,-1.26,-3.11
지분법손익,-5.18,2.98,22.60,-1.26,-3.11
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"1,304.35","1,409.25",891.31,146.61,253.75
법인세비용,448.00,288.90,307.49,52.21,72.80
계속영업이익,856.35,"1,120.35",583.82,94.40,180.95
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,856.35,"1,120.35",583.82,94.40,180.95
지배주주순이익,856.35,"1,120.35",580.37,94.40,180.64
비지배주주순이익,0.0,0.0,3.46,0.0,0.31
