IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,029.47",767.72,775.13,152.59,191.94
매출원가,951.68,639.29,580.26,118.50,146.12
매출총이익,77.79,128.43,194.87,34.09,45.82
판매비와관리비,28.51,27.54,39.29,8.48,8.04
인건비,14.37,13.48,23.93,5.34,3.74
유무형자산상각비,0.90,0.82,0.73,0.18,0.18
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.11,0.13,0.50,0.01,0.0
판매비,2.94,2.49,4.02,0.47,1.17
관리비,10.20,10.63,10.10,2.48,2.94
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,49.27,100.89,155.58,25.61,37.78
영업이익(발표기준),49.27,100.89,155.58,25.61,37.78
금융수익,0.65,1.20,1.38,0.31,0.37
이자수익,0.04,0.05,0.08,0.02,0.01
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.09,0.0,0.28,0.0,0.0
금융자산평가이익,0.52,1.16,1.01,0.29,0.36
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,4.70,8.96,7.87,0.90,2.18
이자비용,4.64,8.96,7.87,0.90,2.18
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.06,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,61.18,29.12,46.25,4.15,12.57
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,57.63,26.25,42.92,3.87,12.28
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.80,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.74,2.86,3.33,0.28,0.29
기타비용,66.12,23.60,24.46,3.40,7.30
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,65.93,23.47,24.20,3.38,7.17
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.12,0.10,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.07,0.04,0.26,0.02,0.13
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,40.28,98.64,170.87,25.77,41.24
법인세비용,-18.45,17.87,33.77,3.93,8.57
계속영업이익,58.73,80.76,137.10,21.84,32.68
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,58.73,80.76,137.10,21.84,32.68
