IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,514.59,595.76,577.68,113.90,153.97
매출원가,354.17,398.78,391.50,75.44,99.94
매출총이익,160.42,196.99,186.18,38.47,54.03
판매비와관리비,153.18,184.51,203.54,46.51,51.83
인건비,44.82,58.34,66.67,16.56,15.36
유무형자산상각비,7.60,8.23,8.78,2.02,2.31
연구개발비,8.26,10.22,13.01,2.41,2.47
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,54.51,61.83,53.79,13.50,16.78
관리비,29.23,37.06,42.67,9.90,11.50
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,8.75,8.82,18.63,2.12,3.41
영업이익,7.24,12.48,-17.36,-8.05,2.19
영업이익(발표기준),7.24,12.48,-17.36,-8.05,2.19
금융수익,10.37,34.31,27.25,2.65,4.98
이자수익,2.95,3.38,3.20,1.14,0.67
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,7.37,3.97,7.55,0.23,2.60
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.02,25.86,1.90,0.0,1.70
금융자산평가이익,0.03,0.0,0.0,0.0,0.00
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,1.11,14.60,1.29,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,11.29,52.83,46.53,9.27,8.03
이자비용,8.17,27.61,33.25,8.89,8.00
외환손실,2.19,3.70,0.30,0.29,0.03
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.92,0.0,0.0,0.0,0.0
금융자산평가손실,0.01,0.03,-0.02,-0.00,-0.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,21.49,13.00,0.00,0.0
기타금융원가,0.0,0.0,0.0,0.09,0.0
기타수익,321.35,9.28,30.49,2.99,5.11
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,8.70,5.92,17.26,2.35,4.69
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.18,0.0,2.19,0.09,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,1.53,0.25,0.12,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.02,0.02,0.03,0.00,0.01
대손충당금환입,0.98,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,309.93,3.09,10.88,0.56,0.41
기타비용,7.43,29.18,7.57,2.18,0.55
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,4.49,4.81,2.42,2.17,0.53
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,10.15,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,7.99,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.79,0.15,0.42,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.15,6.08,4.73,0.01,0.01
"종속기업,공동지배기업및관계기업관련손익",-62.85,-44.20,-71.98,-13.91,1.80
지분법손익,-62.85,-44.20,-71.98,-13.91,1.80
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,257.39,-70.15,-85.70,-27.76,5.50
법인세비용,10.11,-10.08,-12.14,-7.31,-0.06
계속영업이익,247.28,-60.07,-73.56,-20.46,5.57
중단영업이익,"2,266.71",0.0,0.0,0.0,0.0
당기순이익,"2,513.99",-60.07,-73.56,-20.46,5.57
지배주주순이익,"2,506.30",-37.30,-49.89,-16.04,3.40
비지배주주순이익,7.69,-22.77,-23.68,-4.42,2.17
