IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,992.93","4,431.62","4,765.76","1,284.02","1,222.50"
매출원가,"4,435.90","3,952.11","4,163.19","1,129.68","1,048.64"
매출총이익,557.04,479.51,602.57,154.33,173.86
판매비와관리비,328.63,323.87,372.23,86.45,89.35
인건비,127.17,132.57,147.88,36.11,33.06
유무형자산상각비,8.10,8.51,8.51,2.33,2.09
연구개발비,6.45,7.15,8.59,2.12,1.93
광고선전비,0.59,1.64,2.97,0.90,0.18
판매비,108.14,129.36,156.01,36.16,37.85
관리비,78.18,44.64,48.28,8.83,14.24
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,228.41,155.64,230.33,67.89,84.51
영업이익(발표기준),228.41,155.64,230.33,67.89,84.51
금융수익,25.44,14.17,12.21,3.46,2.84
이자수익,1.13,0.28,1.04,0.26,0.27
배당금수익,1.23,0.77,0.49,0.09,0.43
외환이익,23.07,12.00,10.60,3.11,2.14
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,1.12,0.08,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,51.43,60.87,55.06,12.71,13.31
이자비용,31.66,48.49,49.37,11.13,12.64
외환손실,19.65,12.30,5.58,1.57,0.67
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.12,0.08,0.11,0.00,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,5.88,5.07,6.72,2.92,1.13
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.13,0.03,0.11,0.33,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.85,0.90,0.90,0.23,0.23
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.89,4.14,5.72,2.37,0.91
기타비용,159.27,44.60,26.98,0.25,0.31
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.08,0.04,0.00,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.23,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,158.96,44.56,26.98,0.25,0.31
"종속기업,공동지배기업및관계기업관련손익",201.33,96.50,176.88,60.22,55.88
지분법손익,201.33,96.50,176.88,60.22,55.88
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,250.36,165.90,344.10,121.54,130.75
법인세비용,-15.67,-4.47,51.66,13.90,15.35
계속영업이익,266.02,170.37,292.44,107.64,115.41
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,266.02,170.37,292.44,107.64,115.41
지배주주순이익,201.81,132.15,252.51,94.02,101.04
비지배주주순이익,64.22,38.22,39.92,13.62,14.37
