IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,77.94,156.81,192.73,21.58,44.09
매출원가,57.88,108.11,132.21,17.33,29.12
매출총이익,20.06,48.70,60.52,4.25,14.97
판매비와관리비,51.42,61.15,48.94,9.02,13.77
인건비,17.21,18.69,17.97,4.14,4.15
유무형자산상각비,11.87,15.45,9.80,0.27,3.52
연구개발비,4.22,4.48,3.62,1.18,1.09
광고선전비,1.65,2.19,0.95,0.11,0.40
판매비,3.96,5.05,3.73,0.69,0.96
관리비,9.63,12.43,11.09,2.25,3.16
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.89,2.86,1.78,0.38,0.48
영업이익,-31.36,-12.45,11.58,-4.76,1.20
영업이익(발표기준),-31.36,-12.45,11.58,-4.76,1.20
금융수익,22.27,1.95,36.08,0.96,0.28
이자수익,1.59,1.15,0.99,0.24,0.27
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.05,0.06,0.14,0.20,0.00
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,18.56,0.0,34.76,0.0,0.0
기타금융수익,2.07,0.73,0.20,0.52,0.0
금융원가,22.05,47.64,4.40,0.03,2.53
이자비용,20.35,11.95,4.32,0.00,2.43
외환손실,0.30,0.04,0.08,0.03,0.10
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.16,35.65,0.0,0.0,0.0
기타금융원가,1.24,0.0,0.0,0.0,0.0
기타수익,0.02,0.12,7.96,0.00,0.06
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.10,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.02,7.96,0.00,0.06
기타비용,0.01,6.38,7.77,0.0,1.83
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,4.57,0.0,1.63
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,6.37,2.54,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.64,0.0,0.20
기타,0.01,0.01,0.02,0.0,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-31.13,-64.40,43.46,-3.83,-2.82
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-31.13,-64.40,43.46,-3.83,-2.82
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-31.13,-64.40,43.46,-3.83,-2.82
