IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,634.92","6,052.52","7,118.71","1,418.33","1,612.99"
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,"4,634.92","6,052.52","7,118.71","1,418.33","1,612.99"
판매비와관리비,"5,484.30","7,156.93","7,048.09","1,531.70","1,989.24"
인건비,"2,051.23","2,421.34","2,289.58",0.0,0.0
유무형자산상각비,186.37,209.66,208.37,0.0,0.0
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,782.81,728.17,575.44,0.0,0.0
판매비,-11.96,36.25,22.30,0.0,0.0
관리비,"2,475.30","3,761.50","3,952.38",0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.54,0.02,0.01,"1,531.70","1,989.24"
영업이익,-849.38,"-1,104.41",70.62,-113.37,-376.25
영업이익(발표기준),-849.38,"-1,104.41",70.62,-113.37,-376.25
금융수익,917.60,251.49,"1,354.08",151.58,337.47
이자수익,48.35,92.09,77.63,0.0,0.0
배당금수익,1.73,0.16,0.13,0.0,0.0
외환이익,93.37,103.25,265.05,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,343.11,4.47,3.25,0.0,0.0
금융자산평가이익,232.21,40.05,485.51,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,198.52,6.03,522.50,0.0,0.0
기타금융수익,0.30,5.43,0.0,151.58,337.47
금융원가,"1,063.62",964.26,794.08,66.09,606.82
이자비용,71.51,116.99,150.41,0.0,0.0
외환손실,67.13,74.92,95.95,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,259.54,10.41,57.74,0.0,0.0
금융자산평가손실,639.22,398.33,130.69,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,4.24,363.60,7.60,0.0,0.0
기타금융원가,21.98,0.0,351.69,66.09,606.82
기타수익,189.33,545.74,"1,330.14",32.38,28.10
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,1.64,4.54,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,141.48,206.54,102.87,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.05,279.12,48.65,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.52,0.0,0.01,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,47.28,58.45,"1,174.07",32.38,28.10
기타비용,"1,035.15",515.20,645.79,182.48,25.41
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,48.47,90.16,28.60,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,935.66,149.80,364.13,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,5.98,0.78,25.77,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,45.05,274.46,227.30,182.48,25.41
"종속기업,공동지배기업및관계기업관련손익",24.26,185.42,244.48,-19.08,93.24
지분법손익,24.26,185.42,244.48,-19.08,93.24
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"-1,816.95","-1,601.21","1,559.45",-197.05,-549.67
법인세비용,40.61,465.62,-256.80,9.17,40.10
계속영업이익,"-1,857.56","-2,066.82","1,816.25",-206.21,-589.77
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"-1,857.56","-2,066.82","1,816.25",-206.21,-589.77
지배주주순이익,"-1,854.26","-2,004.51","1,884.19",-224.70,-557.38
비지배주주순이익,-3.30,-62.31,-67.94,18.49,-32.39
