IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,209.06,227.91,251.81,71.21,62.62
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,209.06,227.91,251.81,71.21,62.62
판매비와관리비,140.46,150.34,173.11,48.32,39.73
인건비,39.63,45.45,46.11,0.0,0.0
유무형자산상각비,9.02,10.27,9.99,0.0,0.0
연구개발비,22.41,27.27,29.30,0.0,0.0
광고선전비,22.32,23.40,45.98,0.0,0.0
판매비,0.0,0.0,0.0,0.0,0.0
관리비,27.14,26.23,31.28,0.0,0.0
기타원가성비용,1.05,0.15,-0.01,0.0,0.0
기타,18.89,17.58,10.48,48.32,39.73
영업이익,68.59,77.57,78.70,22.89,22.89
영업이익(발표기준),68.59,77.57,78.70,22.89,22.89
금융수익,15.41,28.01,32.96,6.12,8.33
이자수익,14.89,27.61,29.62,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.52,0.40,3.34,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,6.12,8.33
금융원가,10.36,18.93,4.86,0.36,0.16
이자비용,0.27,0.64,0.40,0.0,0.0
외환손실,0.38,0.40,0.01,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,9.71,17.89,4.44,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.36,0.16
기타수익,1.49,0.56,0.13,0.89,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.57,0.19,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.92,0.36,0.13,0.89,0.00
기타비용,0.18,1.81,0.90,0.42,0.13
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.06,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,1.43,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.15,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.18,0.32,0.75,0.42,0.13
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,74.96,85.39,106.03,29.11,30.93
법인세비용,14.85,13.82,16.33,4.07,4.92
계속영업이익,60.11,71.57,89.70,25.04,26.01
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,60.11,71.57,89.70,25.04,26.01
지배주주순이익,60.11,71.57,89.70,25.04,26.01
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
