IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,424.03,525.91,549.32,150.47,127.55
매출원가,335.84,452.32,447.31,129.65,105.52
매출총이익,88.19,73.59,102.01,20.82,22.02
판매비와관리비,163.25,160.85,178.26,36.63,48.13
인건비,49.14,50.03,66.90,19.81,16.80
유무형자산상각비,8.25,7.69,7.67,1.75,1.91
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.00,0.0,0.01,0.0,0.0
판매비,-2.56,-0.72,6.04,0.79,1.12
관리비,108.42,103.85,97.63,14.28,28.30
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-75.07,-87.26,-76.24,-15.81,-26.10
영업이익(발표기준),-75.07,-87.26,-76.24,-15.81,-26.10
금융수익,146.62,204.99,102.76,5.24,44.67
이자수익,12.30,11.66,9.85,2.39,2.00
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.11,1.94,45.54,1.58,18.84
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.01,0.0,0.0,0.0,0.0
금융자산평가이익,0.02,98.98,1.89,0.28,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,130.19,86.17,45.49,0.99,23.82
기타금융수익,0.0,6.24,0.0,0.0,0.0
금융원가,196.84,92.38,171.12,19.45,19.30
이자비용,51.46,11.12,19.64,18.24,3.65
외환손실,0.84,1.00,0.72,0.21,0.16
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.07,0.00,118.67,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,144.47,80.26,32.08,1.00,15.49
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,5.50,1.88,0.43,0.11,0.12
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.14,0.06,0.02,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.42,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.94,1.83,0.41,0.11,0.12
기타비용,14.78,42.83,80.76,0.33,0.10
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,6.12,0.02,0.20,0.11,0.01
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,4.66,0.0,80.37,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,1.42,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.00,41.39,0.19,0.21,0.09
"종속기업,공동지배기업및관계기업관련손익",18.83,-14.06,-4.33,-15.24,1.59
지분법손익,0.0,7.38,-31.53,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,-21.44,27.20,0.08,2.73
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,18.83,0.0,0.0,-15.32,-1.13
세전계속사업이익,-115.73,-29.65,-229.26,-45.49,0.88
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-115.73,-29.65,-229.26,-45.49,0.88
중단영업이익,-5.31,-1.14,-5.34,0.0,-1.72
당기순이익,-121.04,-30.79,-234.60,-45.49,-0.84
지배주주순이익,-113.54,-23.02,-227.93,-44.56,1.60
비지배주주순이익,-7.50,-7.77,-6.67,-0.92,-2.44
