IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,219.17,161.00,129.85,32.76,44.14
매출원가,151.13,118.27,90.35,19.48,26.08
매출총이익,68.04,42.74,39.50,13.28,18.06
판매비와관리비,52.53,65.87,91.64,19.57,19.76
인건비,20.09,21.97,22.98,7.36,5.45
유무형자산상각비,0.0,0.0,0.0,0.0,0.0
연구개발비,20.80,26.18,48.44,7.68,8.74
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.0,0.0,0.0,0.0,0.0
관리비,3.98,6.16,7.10,1.68,2.16
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,7.65,11.56,13.12,2.85,3.41
영업이익,15.51,-23.13,-52.14,-6.30,-1.70
영업이익(발표기준),15.51,-23.13,-52.14,-6.30,-1.70
금융수익,0.44,11.33,39.79,0.30,1.61
이자수익,0.44,2.54,3.85,0.30,1.61
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,8.79,35.94,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.30,31.88,16.62,0.19,0.21
이자비용,0.30,3.20,6.75,0.19,0.21
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,28.68,9.87,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,2.27,4.27,3.69,5.56,1.13
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.86,4.27,3.31,0.20,1.13
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.38,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,5.36,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.02,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.39,0.00,0.00,0.00,0.00
기타비용,2.21,5.31,11.21,0.30,0.24
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,2.13,1.07,1.26,0.30,0.24
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,4.21,8.17,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.01,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.08,0.02,1.78,0.01,0.01
"종속기업,공동지배기업및관계기업관련손익",2.36,-1.39,-0.97,0.0,0.0
지분법손익,2.36,-1.39,-0.97,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,18.06,-46.11,-37.46,-0.93,0.58
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,18.06,-46.11,-37.46,-0.93,0.58
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,18.06,-46.11,-37.46,-0.93,0.58
