IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,696.00,710.95,651.49,160.75,164.50
매출원가,637.74,648.95,598.27,146.95,151.19
매출총이익,58.25,62.01,53.22,13.79,13.31
판매비와관리비,38.08,40.57,38.27,8.98,9.48
인건비,19.10,18.73,19.03,4.54,4.87
유무형자산상각비,1.15,1.16,1.23,0.30,0.29
연구개발비,3.34,3.69,3.46,0.70,0.88
광고선전비,0.00,0.51,0.0,0.0,0.0
판매비,8.57,10.57,9.02,2.06,2.25
관리비,5.91,5.90,5.53,1.37,1.18
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.01,0.01,0.0,0.0
영업이익,20.18,21.44,14.95,4.82,3.83
영업이익(발표기준),20.18,21.44,14.95,4.82,3.83
금융수익,0.87,1.50,1.22,0.40,0.24
이자수익,0.37,0.75,0.93,0.34,0.22
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.51,0.74,0.29,0.06,0.02
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,2.80,4.00,1.95,0.36,0.55
이자비용,2.28,2.88,1.86,0.35,0.51
외환손실,0.52,1.12,0.10,0.01,0.04
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,2.34,3.53,3.72,1.59,0.81
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.75,1.27,1.56,0.94,0.16
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.06,0.25,0.10,0.02,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.53,2.01,2.06,0.63,0.65
기타비용,3.09,2.83,2.50,0.46,0.59
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,1.97,2.40,1.25,0.32,0.46
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.51,0.00,0.28,0.0,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.61,0.43,0.97,0.14,0.13
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,17.49,19.63,15.44,6.00,3.74
법인세비용,0.23,0.53,-0.23,0.16,0.03
계속영업이익,17.27,19.09,15.67,5.84,3.71
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,17.27,19.09,15.67,5.84,3.71
