IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,215.84","4,317.28","3,410.75",522.15,991.94
매출원가,"3,915.23","4,249.31","3,702.09",485.02,886.96
매출총이익,300.60,67.97,-291.34,37.12,104.98
판매비와관리비,264.31,270.76,404.78,39.61,69.41
인건비,93.07,93.50,77.59,14.90,22.00
유무형자산상각비,23.73,23.01,12.71,1.71,3.39
연구개발비,10.02,11.14,9.52,0.74,2.95
광고선전비,0.20,0.27,0.37,0.02,0.18
판매비,15.44,6.21,160.70,-4.48,8.79
관리비,120.91,139.85,148.16,26.67,33.28
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.94,-3.22,-4.27,0.07,-1.18
영업이익,36.30,-202.79,-696.12,-2.49,35.57
영업이익(발표기준),36.30,-202.79,-696.12,-2.49,35.57
금융수익,414.38,232.81,"1,027.37",30.61,122.79
이자수익,5.27,7.88,19.85,3.54,3.59
배당금수익,0.04,0.03,0.02,0.0,0.0
외환이익,341.64,175.01,433.98,26.78,116.28
대손충당금환입액,0.24,5.44,0.07,0.06,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,3.27,0.31,0.49,0.25,0.47
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,63.91,41.38,2.99,0.0,2.46
기타금융수익,0.00,2.75,569.98,-0.02,-0.01
금융원가,625.31,440.91,453.55,59.12,112.66
이자비용,46.68,88.40,89.77,10.93,27.02
외환손실,287.46,201.20,194.52,42.60,28.25
대손상각비,149.40,0.34,17.78,1.45,2.93
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.02,0.02,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,141.75,90.84,142.87,4.20,51.53
기타금융원가,0.02,60.11,8.58,-0.07,2.94
기타수익,34.73,32.18,26.71,4.86,5.34
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,3.08,0.80,1.47,0.15,0.40
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.01,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,31.64,31.38,25.24,4.72,4.94
기타비용,10.61,23.86,150.27,10.39,1.40
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.10,0.65,2.27,0.01,0.38
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,6.92,0.04,70.72,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,30.50,0.0,0.0
기타,3.60,23.18,46.78,10.38,1.02
"종속기업,공동지배기업및관계기업관련손익",-41.93,-42.59,-25.42,-0.85,-7.72
지분법손익,-41.93,-42.59,-25.42,-0.85,-7.72
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-192.44,-445.16,-271.28,-37.37,41.92
법인세비용,28.86,-9.93,21.86,1.66,8.67
계속영업이익,-221.30,-435.23,-293.14,-39.03,33.25
중단영업이익,0.0,-8.65,-14.44,-0.05,-3.18
당기순이익,-221.30,-443.89,-307.58,-39.07,30.07
지배주주순이익,-220.19,-444.54,-309.05,-39.46,29.57
비지배주주순이익,-1.11,0.66,1.46,0.39,0.51
