IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,97.03,163.93,207.34,41.29,51.49
매출원가,112.51,150.15,174.70,39.90,39.77
매출총이익,-15.48,13.78,32.64,1.39,11.72
판매비와관리비,56.62,54.81,64.38,16.51,15.51
인건비,20.89,23.90,24.20,0.0,0.0
유무형자산상각비,3.21,3.14,3.11,0.0,0.0
연구개발비,16.62,14.28,21.92,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,1.54,1.33,2.47,0.0,0.0
관리비,7.69,8.27,9.46,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,6.68,3.89,3.23,16.51,15.51
영업이익,-72.10,-41.03,-31.74,-15.12,-3.79
영업이익(발표기준),-72.10,-41.03,-31.74,-15.12,-3.79
금융수익,6.27,10.67,6.32,0.93,2.31
이자수익,0.61,3.94,2.79,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,5.03,0.11,2.88,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.63,0.20,0.65,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,6.42,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.93,2.31
금융원가,9.03,14.54,7.22,1.64,1.88
이자비용,5.13,6.89,6.45,0.0,0.0
외환손실,0.28,7.65,0.77,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.23,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,3.40,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,1.64,1.88
기타수익,2.74,2.60,7.96,0.25,0.04
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.68,0.52,0.02,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.84,1.54,6.59,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.21,0.54,1.34,0.25,0.04
기타비용,17.66,2.07,1.84,0.01,0.12
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,4.19,0.55,0.47,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.54,0.00,0.37,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,7.14,1.36,0.57,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,5.54,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.24,0.17,0.43,0.01,0.12
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-89.79,-44.36,-26.53,-15.60,-3.44
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-89.79,-44.36,-26.53,-15.60,-3.44
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-89.79,-44.36,-26.53,-15.60,-3.44
지배주주순이익,-89.79,-44.36,-26.53,-15.60,-3.44
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
