IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,224.97,212.95,180.64,66.58,50.49
매출원가,200.82,181.27,165.71,60.52,44.54
매출총이익,24.15,31.68,14.93,6.06,5.95
판매비와관리비,31.45,21.42,36.58,5.11,7.20
인건비,10.50,8.33,16.60,3.36,3.70
유무형자산상각비,0.55,1.16,1.24,0.32,0.30
연구개발비,5.24,4.47,9.82,1.16,1.23
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-0.72,0.12,2.51,-1.59,0.10
관리비,15.88,7.35,6.42,1.85,1.87
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-7.30,10.26,-21.65,0.94,-1.25
영업이익(발표기준),-7.30,10.26,-21.65,0.94,-1.25
금융수익,1.23,1.20,3.20,1.26,0.65
이자수익,0.07,1.20,3.20,0.55,0.47
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.60,0.0,0.0,0.09,0.19
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.55,0.0,0.0,0.61,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.06,0.07,0.11,0.10,0.01
이자비용,0.06,0.07,0.02,0.00,0.01
외환손실,0.0,0.0,0.09,0.10,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.11,14.99,1.71,0.04,0.03
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.01,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.08,0.08,0.02,0.02
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.04,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.11,14.86,1.63,0.02,0.01
기타비용,0.01,0.01,1.42,0.01,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,1.36,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.01,0.07,0.01,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-6.03,26.37,-18.27,2.13,-0.58
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-6.03,26.37,-18.27,2.13,-0.58
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-6.03,26.37,-18.27,2.13,-0.58
