IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,759.94,798.08,"1,000.95",250.85,231.68
매출원가,708.42,655.90,734.53,188.90,169.79
매출총이익,51.52,142.18,266.42,61.95,61.90
판매비와관리비,220.34,146.29,153.80,39.77,36.98
인건비,74.75,62.94,66.46,15.24,14.36
유무형자산상각비,29.80,22.18,11.29,2.70,2.77
연구개발비,35.68,17.36,10.65,1.76,2.20
광고선전비,0.64,1.22,1.00,1.02,0.87
판매비,17.79,-1.59,5.80,2.76,1.43
관리비,61.68,44.18,58.60,16.29,15.36
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-168.82,-4.11,112.62,22.18,24.91
영업이익(발표기준),-168.82,-4.11,112.62,22.18,24.91
금융수익,98.22,52.56,56.80,2.76,0.98
이자수익,6.30,3.10,4.62,2.00,0.79
배당금수익,1.71,0.11,0.11,0.10,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.53,1.69,0.04,0.0
금융자산평가이익,5.99,0.04,0.36,0.14,0.19
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.63,46.06,38.84,0.0,0.0
기타금융수익,83.60,2.71,11.18,0.47,0.0
금융원가,45.95,359.62,112.20,9.50,16.28
이자비용,25.81,58.79,45.44,9.47,15.53
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.12,0.0,0.0,0.02,0.0
금융자산평가손실,10.17,17.51,16.53,0.0,0.75
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,6.25,162.73,50.23,0.0,0.0
기타금융원가,3.60,120.59,0.0,0.0,0.0
기타수익,123.62,53.82,78.61,0.34,3.41
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,10.14,4.46,13.31,0.25,2.97
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.30,2.45,0.06,0.0,0.0
자산평가이익,13.23,45.08,64.65,0.09,0.0
자산손상차손환입,0.0,0.0,0.04,0.00,0.00
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,99.95,1.83,0.55,0.00,0.44
기타비용,82.54,47.60,22.95,1.38,0.15
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,6.02,2.54,1.33,1.31,0.05
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,5.84,0.0,0.0,0.0
자산평가손실,1.10,0.0,0.0,0.0,0.0
자산손상차손,27.72,2.32,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,26.00,3.03,1.67,-0.01,-0.01
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,21.69,33.88,19.95,0.08,0.11
"종속기업,공동지배기업및관계기업관련손익",2.31,5.61,11.12,1.54,2.18
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,2.31,5.61,11.12,1.54,2.18
세전계속사업이익,-73.16,-299.34,124.00,15.93,15.06
법인세비용,-20.86,-12.14,11.86,2.82,2.26
계속영업이익,-52.30,-287.20,112.14,13.12,12.80
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-52.30,-287.20,112.14,13.12,12.80
지배주주순이익,-29.06,-283.19,104.30,13.47,12.44
비지배주주순이익,-23.23,-4.01,7.83,-0.35,0.37
