IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,57.72,101.26,100.34,20.96,22.82
매출원가,39.83,52.36,44.20,10.04,11.65
매출총이익,17.89,48.89,56.13,10.93,11.18
판매비와관리비,18.08,19.79,27.75,6.06,6.69
인건비,12.02,13.60,14.07,3.23,3.58
유무형자산상각비,0.84,0.82,0.88,0.28,0.21
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.10,0.0,0.0,0.0
판매비,0.34,0.87,6.50,1.31,1.65
관리비,4.87,4.40,6.29,1.21,1.25
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.03,0.0
영업이익,-0.18,29.11,28.38,4.87,4.48
영업이익(발표기준),-0.18,29.11,28.38,4.87,4.48
금융수익,0.27,1.45,3.39,0.93,0.80
이자수익,0.04,1.44,3.36,0.93,0.78
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.23,0.00,0.02,0.0,0.02
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,2.59,3.00,2.53,0.63,0.66
이자비용,2.59,2.99,2.53,0.63,0.66
외환손실,0.0,0.02,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,5.54,3.76,2.95,0.56,0.80
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,2.74,2.85,2.23,0.40,0.65
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.78,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.02,0.91,0.72,0.16,0.16
기타비용,1.34,0.52,3.20,0.01,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.02,0.32,0.04,0.01,0.01
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.32,0.19,0.99,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.01,2.16,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,1.70,30.79,28.99,5.72,5.42
법인세비용,-0.60,5.60,4.26,1.20,1.13
계속영업이익,2.30,25.18,24.73,4.52,4.29
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,2.30,25.18,24.73,4.52,4.29
