IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,120.09,322.89,393.51,107.83,99.85
매출원가,129.63,351.22,415.87,92.18,108.81
매출총이익,-9.54,-28.33,-22.37,15.65,-8.97
판매비와관리비,50.49,72.90,46.43,14.49,14.62
인건비,25.91,42.11,24.75,7.65,6.27
유무형자산상각비,1.72,4.98,7.18,1.60,2.22
연구개발비,4.95,2.89,4.14,1.00,1.14
광고선전비,0.0,0.0,0.00,0.0,0.00
판매비,0.35,0.14,1.80,0.04,0.07
관리비,26.84,25.77,8.56,4.20,4.91
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,-9.27,-2.99,0.0,0.0,0.0
영업이익,-60.02,-101.23,-68.79,1.16,-23.59
영업이익(발표기준),-60.02,-101.23,-68.79,1.16,-23.59
금융수익,8.53,11.24,10.46,0.86,2.58
이자수익,6.42,9.92,4.97,0.48,2.02
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.80,1.43,2.23,0.30,0.55
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.07,0.07,0.0
금융자산평가이익,0.0,0.0,0.08,0.01,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,3.11,0.0,0.0
기타금융수익,-0.68,-0.11,0.0,0.0,0.0
금융원가,7.11,26.59,11.27,2.59,3.01
이자비용,4.74,25.69,10.33,2.35,2.98
외환손실,3.02,0.96,0.74,0.25,0.03
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.17,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.03,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.16,0.0,0.0
기타금융원가,-0.82,-0.07,0.0,0.0,0.0
기타수익,0.53,5.04,7.91,1.91,0.16
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.24,3.44,0.04,1.82,0.0
자산평가이익,0.0,0.05,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.04,0.04,0.01,0.01
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,2.80,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.30,1.52,5.03,0.08,0.16
기타비용,1.08,3.30,74.32,0.13,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.07,0.47,0.00,0.13,0.00
자산평가손실,0.0,0.0,0.20,0.0,0.0
자산손상차손,0.0,11.24,73.73,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,2.80,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.01,-11.22,0.39,0.00,0.01
"종속기업,공동지배기업및관계기업관련손익",-6.38,-19.93,-13.32,-1.02,-1.89
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-6.38,-19.93,-13.32,-1.02,-1.89
세전계속사업이익,-65.53,-134.76,-149.33,0.19,-25.75
법인세비용,-2.09,-18.72,-3.35,0.0,0.0
계속영업이익,-63.44,-116.04,-145.98,0.19,-25.75
중단영업이익,10.91,-6.22,0.0,0.0,0.0
당기순이익,-52.53,-122.26,-145.98,0.19,-25.75
지배주주순이익,-52.53,-121.02,-145.64,0.19,-25.59
비지배주주순이익,-0.00,-1.24,-0.34,0.0,-0.16
