IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,442.11,350.18,363.11,77.48,86.18
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,442.11,350.18,363.11,77.48,86.18
판매비와관리비,348.83,313.53,315.53,80.70,79.11
인건비,221.93,230.59,243.95,64.68,60.83
유무형자산상각비,17.75,16.72,11.73,2.59,2.91
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.0,0.0,1.47,0.0,0.0
관리비,92.01,48.90,41.56,9.25,10.84
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,17.15,17.32,16.84,4.18,4.52
영업이익,93.28,36.66,47.58,-3.22,7.07
영업이익(발표기준),93.28,36.66,47.58,-3.22,7.07
금융수익,15.87,21.25,21.00,5.40,5.35
이자수익,9.10,19.57,20.20,4.83,4.94
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,5.88,0.11,0.32,0.53,0.01
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.13,0.54,0.0,0.0,0.0
금융자산평가이익,0.76,1.03,0.49,0.04,0.40
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,3.65,2.21,2.82,0.57,0.79
이자비용,0.45,0.48,0.79,0.13,0.23
외환손실,1.09,1.55,1.51,0.36,0.56
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.52,0.0,0.0
금융자산평가손실,2.11,0.18,0.0,0.08,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,8.07,6.41,7.13,2.27,1.30
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.04,0.22,0.41,0.00,0.15
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,8.03,6.19,6.72,2.27,1.15
기타비용,17.57,11.88,10.69,0.10,0.75
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.12,0.00,0.0,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,17.57,11.76,10.69,0.10,0.75
"종속기업,공동지배기업및관계기업관련손익",1.64,0.38,0.70,0.59,-0.14
지분법손익,1.64,0.38,0.70,0.59,-0.14
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,97.63,50.61,62.90,4.37,12.05
법인세비용,24.26,11.45,3.78,-2.33,0.71
계속영업이익,73.37,39.16,59.12,6.70,11.34
중단영업이익,-0.04,0.01,0.0,0.0,0.0
당기순이익,73.34,39.17,59.12,6.70,11.34
지배주주순이익,67.20,40.43,57.45,7.40,11.37
비지배주주순이익,6.13,-1.26,1.67,-0.70,-0.03
