IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,660.47,787.13,927.88,246.10,237.73
매출원가,334.16,383.66,458.19,123.75,117.06
매출총이익,326.31,403.46,469.69,122.34,120.67
판매비와관리비,326.54,372.92,432.55,105.18,96.48
인건비,91.23,102.74,113.29,29.70,27.84
유무형자산상각비,34.31,21.25,18.59,4.28,4.87
연구개발비,0.96,1.09,1.11,0.17,0.26
광고선전비,14.80,33.65,71.53,16.15,10.18
판매비,142.33,160.06,155.22,35.25,35.45
관리비,42.88,54.13,72.80,19.62,17.88
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.00,0.01,0.01,0.00
영업이익,-0.23,30.55,37.13,17.17,24.20
영업이익(발표기준),-0.23,30.55,37.13,17.17,24.20
금융수익,5.11,5.88,8.89,1.92,1.94
이자수익,2.68,4.35,4.80,1.07,1.18
배당금수익,0.18,0.16,0.15,0.15,0.15
외환이익,2.26,1.36,3.93,0.69,0.61
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,6.30,3.42,6.02,1.29,1.12
이자비용,3.79,2.51,3.73,0.83,0.75
외환손실,2.50,0.91,2.29,0.46,0.37
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,4.33,5.42,4.52,2.81,1.37
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.66,0.78,1.97,1.21,0.18
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.37,0.07,0.20
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.67,4.63,2.18,1.54,0.99
기타비용,21.79,5.41,2.22,0.22,0.73
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,3.72,1.55,0.21,0.18,0.01
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,12.38,1.90,1.50,0.0,0.70
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,4.00,1.79,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.69,0.18,0.51,0.04,0.03
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-18.87,33.01,42.30,20.39,25.64
법인세비용,-23.06,-2.46,-6.09,0.24,-0.50
계속영업이익,4.18,35.47,48.39,20.14,26.14
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,4.18,35.47,48.39,20.14,26.14
지배주주순이익,5.97,35.10,45.93,19.37,25.27
비지배주주순이익,-1.79,0.37,2.46,0.77,0.87
