IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,970.93","2,520.60","3,038.95",679.42,724.02
매출원가,"1,899.11","2,390.76","2,877.22",644.73,683.04
매출총이익,71.83,129.84,161.73,34.69,40.98
판매비와관리비,45.49,42.95,52.46,11.03,11.69
인건비,24.77,17.38,18.76,3.79,5.38
유무형자산상각비,0.98,0.99,1.35,0.37,0.32
연구개발비,1.94,4.69,5.12,1.24,0.06
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,9.49,11.31,13.15,2.77,3.41
관리비,8.31,8.58,14.08,2.86,2.53
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,26.33,86.89,109.27,23.66,29.29
영업이익(발표기준),26.33,86.89,109.27,23.66,29.29
금융수익,0.39,0.82,2.48,0.15,0.20
이자수익,0.39,0.82,2.21,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.28,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.15,0.20
금융원가,9.63,10.82,28.11,0.77,1.76
이자비용,9.54,10.70,6.34,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.08,0.11,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,21.77,0.77,1.76
기타수익,1.81,0.66,3.51,0.23,0.41
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.97,0.16,0.17,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.29,0.03,0.17,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.56,0.47,3.17,0.23,0.41
기타비용,3.90,0.26,4.69,0.02,0.04
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.55,0.12,0.03,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.35,0.14,4.66,0.02,0.04
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,15.01,77.30,82.46,23.25,28.10
법인세비용,4.14,-53.25,19.73,4.72,1.17
계속영업이익,10.87,130.55,62.73,18.53,26.93
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,10.87,130.55,62.73,18.53,26.93
