IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,542.13","1,636.44","2,158.16",666.61,422.13
매출원가,"1,067.04","1,155.50","1,574.21",497.22,283.88
매출총이익,475.09,480.94,583.95,169.39,138.25
판매비와관리비,379.92,392.61,514.50,131.72,106.93
인건비,176.56,172.97,191.25,50.62,42.94
유무형자산상각비,31.15,30.62,33.19,9.38,7.62
연구개발비,74.70,61.71,73.00,16.62,18.33
광고선전비,4.26,3.25,27.16,8.39,1.59
판매비,11.31,8.38,34.81,9.76,5.61
관리비,81.64,114.41,155.11,36.95,30.84
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.31,1.27,0.0,0.0,0.0
영업이익,95.17,88.33,69.45,37.67,31.32
영업이익(발표기준),95.17,88.33,69.45,37.67,31.32
금융수익,156.10,200.47,196.62,50.79,52.35
이자수익,7.56,14.58,25.61,5.15,7.76
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,148.54,185.81,171.00,45.64,44.59
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.09,0.00,0.0,0.00
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,30.89,19.49,10.07,2.18,2.48
이자비용,13.67,6.37,5.79,2.18,1.52
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.83,0.0,0.0,0.0
금융자산평가손실,17.22,12.14,2.81,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.15,1.47,0.0,0.96
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,20.65,47.53,57.13,2.55,3.55
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,17.22,8.18,24.40,1.44,2.94
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,2.00,21.57,29.75,0.06,0.17
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,15.15,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.38,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.43,2.63,2.98,0.67,0.43
기타비용,221.01,167.18,52.28,1.62,1.08
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,14.29,5.39,2.10,1.51,0.53
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.03,0.00,0.03,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.56,0.03,1.73,0.01,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,203.64,159.79,28.74,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.36,0.38,0.0,0.35
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.49,1.59,19.30,0.11,0.20
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,20.03,149.66,260.84,87.21,83.66
법인세비용,47.87,63.19,78.63,14.26,15.04
계속영업이익,-27.84,86.47,182.21,72.96,68.63
중단영업이익,0.0,-57.88,-66.07,-112.78,-10.24
당기순이익,-27.84,28.59,116.14,-39.83,58.39
지배주주순이익,-53.84,-18.81,69.92,7.13,38.85
비지배주주순이익,26.00,47.40,46.22,-46.96,19.55
