IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,179.42","3,598.78","3,219.57",883.29,793.67
매출원가,"3,011.53","3,423.50","3,116.54",842.97,761.29
매출총이익,167.89,175.29,103.03,40.33,32.38
판매비와관리비,74.93,88.21,89.62,21.84,21.65
인건비,27.21,37.20,38.09,8.12,7.94
유무형자산상각비,0.78,0.80,0.76,0.22,0.17
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,23.81,28.28,28.92,7.47,7.56
관리비,22.89,21.54,21.40,5.91,5.77
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.25,0.40,0.45,0.11,0.20
영업이익,92.95,87.07,13.41,18.49,10.74
영업이익(발표기준),92.95,87.07,13.41,18.49,10.74
금융수익,8.27,16.15,22.59,8.62,6.56
이자수익,4.26,10.64,14.78,0.0,0.0
배당금수익,2.74,4.80,5.12,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,1.27,0.70,2.69,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.00,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,8.62,6.56
금융원가,7.93,8.22,7.78,1.82,2.02
이자비용,5.75,8.12,7.49,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.51,0.10,0.29,0.0,0.0
금융자산평가손실,1.67,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,1.82,2.02
기타수익,4.93,6.42,1.93,0.25,0.94
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.00,0.39,0.06,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.40,0.0,0.46,0.0,0.0
자산평가이익,2.20,2.10,0.15,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.04,0.04,0.04,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,2.92,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.31,0.96,1.23,0.25,0.94
기타비용,4.93,2.26,3.20,0.18,0.09
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.38,0.23,0.03,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.10,0.49,2.57,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,2.92,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.52,1.54,0.60,0.18,0.09
"종속기업,공동지배기업및관계기업관련손익",-4.90,6.05,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-4.90,6.05,0.0,0.0,0.0
세전계속사업이익,88.40,105.21,26.94,25.37,16.13
법인세비용,17.63,14.88,0.58,4.66,3.37
계속영업이익,70.77,90.33,26.36,20.71,12.76
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,70.77,90.33,26.36,20.71,12.76
