IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,976.78","3,482.81","3,120.12",228.23,482.26
매출원가,"1,255.76","2,261.62","2,139.52",103.38,274.41
매출총이익,721.02,"1,221.20",980.60,124.85,207.85
판매비와관리비,470.14,633.24,670.73,148.34,152.17
인건비,165.46,217.85,234.32,55.74,52.76
유무형자산상각비,19.81,21.33,23.59,6.36,5.25
연구개발비,212.52,279.53,294.54,65.78,63.27
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-3.27,22.23,18.00,-2.00,7.10
관리비,63.36,75.90,86.17,19.79,21.45
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,12.26,16.39,14.12,2.66,2.34
영업이익,250.87,587.96,309.87,-23.48,55.68
영업이익(발표기준),250.87,587.96,309.87,-23.48,55.68
금융수익,19.25,20.90,38.40,14.33,11.91
이자수익,11.85,15.21,33.12,11.79,6.72
배당금수익,0.93,0.22,0.61,0.02,0.61
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,5.66,0.0,1.56,0.00,0.0
금융자산평가이익,0.82,5.47,3.11,2.51,4.59
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.00,0.0,0.0
금융원가,13.77,23.81,2.09,0.47,0.35
이자비용,0.55,12.64,1.73,0.36,0.35
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,3.75,0.0,0.0,0.0
금융자산처분손실,0.0,0.69,0.06,0.03,0.0
금융자산평가손실,13.23,6.73,0.29,0.07,0.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,79.23,57.67,187.18,63.04,90.98
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,74.49,51.75,129.76,4.19,36.21
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.82,0.44,0.28,0.33,0.09
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,2.72,2.48,2.59,0.53,0.68
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.21,3.01,54.55,58.00,54.00
기타비용,76.22,60.94,45.17,12.03,12.85
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,74.15,58.59,40.47,11.59,11.43
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.20,0.64,0.52,0.29,0.28
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.91,2.71,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.88,0.80,1.47,0.15,1.14
"종속기업,공동지배기업및관계기업관련손익",8.09,20.53,15.25,-5.21,6.13
지분법손익,8.09,20.53,15.25,-5.21,6.13
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,267.45,602.32,503.44,36.19,151.51
법인세비용,21.36,104.91,99.23,3.48,29.43
계속영업이익,246.08,497.41,404.22,32.71,122.08
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,246.08,497.41,404.22,32.71,122.08
지배주주순이익,240.31,459.04,394.08,43.80,114.71
비지배주주순이익,5.78,38.37,10.14,-11.09,7.37
