IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,137.03,144.46,120.76,26.70,18.53
매출원가,19.52,21.20,13.66,3.80,2.54
매출총이익,117.51,123.25,107.10,22.89,16.00
판매비와관리비,64.47,78.72,72.89,20.17,16.71
인건비,19.61,23.65,23.27,6.37,5.57
유무형자산상각비,2.95,3.35,3.72,0.95,0.92
연구개발비,35.33,38.29,36.95,10.39,8.74
광고선전비,0.60,0.66,0.79,0.28,0.17
판매비,0.02,5.34,-1.01,0.00,-1.23
관리비,5.97,7.43,9.16,2.17,2.53
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,53.04,44.53,34.21,2.72,-0.71
영업이익(발표기준),53.04,44.53,34.21,2.72,-0.71
금융수익,4.14,13.35,11.56,3.17,2.61
이자수익,3.71,13.19,10.10,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.42,0.15,1.46,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,3.17,2.61
금융원가,0.12,0.19,0.19,0.06,0.11
이자비용,0.02,0.09,0.17,0.0,0.0
외환손실,0.10,0.09,0.02,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.06,0.11
기타수익,0.37,10.04,0.09,0.02,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.35,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.37,9.69,0.09,0.02,0.00
기타비용,0.25,0.25,11.18,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.23,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.25,11.18,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,57.18,67.48,34.48,5.86,1.79
법인세비용,8.75,9.61,4.21,0.83,0.27
계속영업이익,48.43,57.87,30.27,5.03,1.52
중단영업이익,-0.17,0.0,0.0,0.0,0.0
당기순이익,48.26,57.87,30.27,5.03,1.52
