IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,148.31,101.71,72.08,0.0,0.0
매출원가,132.60,108.66,61.01,0.0,0.0
매출총이익,15.71,-6.94,11.07,0.0,0.0
판매비와관리비,40.89,39.48,31.47,0.0,0.0
인건비,19.50,19.00,17.28,0.0,0.0
유무형자산상각비,7.68,7.29,6.66,0.0,0.0
연구개발비,6.34,1.50,0.31,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.62,3.57,-0.18,0.0,0.0
관리비,6.74,8.12,7.39,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.01,0.0,0.0,0.0
영업이익,-25.17,-46.42,-20.40,0.0,0.0
영업이익(발표기준),-25.17,-46.42,-20.40,0.0,0.0
금융수익,5.27,1.49,4.46,0.0,0.0
이자수익,0.07,1.09,0.82,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,5.14,0.21,0.90,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.06,0.19,2.74,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,8.23,16.95,18.48,0.0,0.0
이자비용,7.57,13.87,17.45,0.0,0.0
외환손실,0.66,0.52,0.18,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.85,0.0,0.0
금융자산평가손실,0.0,2.56,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,4.81,4.27,1.46,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,2.53,0.13,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,2.13,1.00,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.68,0.74,1.33,0.0,0.0
기타비용,2.03,4.69,1.16,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,2.02,4.68,0.91,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.01,0.25,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-25.36,-62.30,-34.12,0.0,0.0
법인세비용,-1.41,-0.24,-0.01,0.0,0.0
계속영업이익,-23.95,-62.06,-34.11,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-23.95,-62.06,-34.11,0.0,0.0
