IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"29,320.01","6,556.77","6,945.74","1,853.26","1,763.89"
매출원가,"15,390.07","5,296.74","3,551.88",919.43,868.35
매출총이익,"13,929.95","1,260.02","3,393.86",933.82,895.54
판매비와관리비,"2,463.70","3,740.87","3,934.43","1,079.45","1,001.16"
인건비,783.27,912.41,"1,065.40",310.83,279.18
유무형자산상각비,153.80,926.53,982.85,252.10,249.12
연구개발비,457.62,642.03,879.46,177.67,198.19
광고선전비,111.14,42.00,30.26,8.14,6.72
판매비,251.02,219.11,187.11,27.98,73.99
관리비,685.36,937.71,743.00,284.63,183.10
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,21.49,61.09,46.34,18.10,10.86
영업이익,"11,466.24","-2,480.85",-540.57,-145.63,-105.62
영업이익(발표기준),"11,466.24","-2,480.85",-540.57,-145.63,-105.62
금융수익,401.82,340.17,285.05,73.57,52.70
이자수익,264.86,234.87,223.02,70.00,52.70
배당금수익,0.0,0.0,0.02,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,116.67,37.46,0.10,0.0,0.0
금융자산평가이익,20.29,47.84,14.46,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,19.99,42.26,3.57,0.0
기타금융수익,0.0,0.0,5.19,0.0,0.0
금융원가,116.15,656.52,929.18,198.29,198.41
이자비용,9.94,492.28,685.89,174.89,164.37
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,7.99,16.07,0.0,0.11,0.0
금융자산평가손실,97.90,28.78,138.33,2.09,0.01
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,10.49,13.56,21.19,7.42
기타금융원가,0.32,108.90,91.40,0.0,26.62
기타수익,"3,060.35",616.69,689.88,94.79,176.51
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,"3,038.61",579.17,491.18,67.41,153.75
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,4.58,7.99,76.69,13.20,20.12
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,17.16,29.52,122.01,14.19,2.64
기타비용,"2,365.78","2,195.76","1,661.67",42.74,55.95
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,"2,114.99",806.28,182.42,33.49,45.15
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,22.62,18.45,35.77,1.62,6.50
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,86.34,998.69,"1,352.62",0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,4.14,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,141.84,372.35,86.72,7.62,4.29
"종속기업,공동지배기업및관계기업관련손익",-25.60,-9.87,-35.32,-10.42,-9.51
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-25.60,-9.87,-35.32,-10.42,-9.51
세전계속사업이익,"12,420.88","-4,386.14","-2,191.81",-228.72,-140.28
법인세비용,"3,333.00",292.90,"-1,210.41",-40.73,-28.62
계속영업이익,"9,087.89","-4,679.04",-981.40,-188.00,-111.65
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"9,087.89","-4,679.04",-981.40,-188.00,-111.65
지배주주순이익,"9,113.62","-4,677.12",-984.11,-186.74,-111.49
비지배주주순이익,-25.74,-1.93,2.71,-1.26,-0.16
