IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,769.54,460.03,320.27,140.69,80.98
매출원가,528.18,467.52,368.84,131.23,83.54
매출총이익,241.36,-7.50,-48.57,9.46,-2.56
판매비와관리비,328.41,303.31,255.01,66.33,68.39
인건비,70.92,64.06,51.58,11.87,13.47
유무형자산상각비,6.23,5.65,3.16,0.93,1.04
연구개발비,196.26,187.00,157.02,41.32,44.39
광고선전비,0.86,1.10,1.86,0.01,1.60
판매비,10.55,8.96,8.46,3.52,0.50
관리비,43.60,36.53,32.91,8.67,7.39
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.01,0.02,0.0,0.00
영업이익,-87.05,-310.81,-303.58,-56.87,-70.95
영업이익(발표기준),-87.05,-310.81,-303.58,-56.87,-70.95
금융수익,43.88,63.93,63.07,7.08,10.60
이자수익,7.52,11.32,5.74,0.82,2.00
배당금수익,0.0,0.59,0.0,0.0,0.0
외환이익,1.02,0.39,2.47,0.20,0.73
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,19.49,24.49,20.39,5.85,7.73
금융자산평가이익,15.85,27.13,2.76,0.21,0.15
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,31.71,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,38.86,25.46,70.15,9.35,4.98
이자비용,7.60,16.31,23.45,8.43,3.82
외환손실,0.93,0.79,0.0,0.04,0.15
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,23.27,3.33,0.88,0.75,0.59
금융자산평가손실,7.06,5.04,32.77,0.13,0.41
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,13.05,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,24.34,7.80,12.78,3.48,3.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,14.60,5.91,8.91,3.03,2.42
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.01,0.01,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,9.72,1.88,3.86,0.45,0.58
기타비용,14.96,36.09,4.28,1.16,0.71
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,13.31,7.82,3.84,1.13,0.63
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.02,0.03,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,27.20,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.45,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.17,1.05,0.43,0.04,0.07
"종속기업,공동지배기업및관계기업관련손익",8.12,6.07,-17.42,-1.79,-0.52
지분법손익,8.12,6.07,-17.42,-1.79,-0.52
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-64.53,-294.57,-319.58,-58.61,-63.55
법인세비용,-4.77,43.60,11.69,0.15,-4.58
계속영업이익,-59.77,-338.17,-331.27,-58.76,-58.97
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-59.77,-338.17,-331.27,-58.76,-58.97
지배주주순이익,-59.77,-338.17,-331.27,-58.76,-58.97
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
