IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,194.30,167.74,133.34,31.50,32.74
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,194.30,167.74,133.34,31.50,32.74
판매비와관리비,354.46,149.12,127.42,28.69,32.23
인건비,76.47,33.08,29.71,7.34,7.45
유무형자산상각비,9.31,6.60,6.38,1.24,1.61
연구개발비,35.64,34.35,31.53,7.72,8.00
광고선전비,19.01,1.86,0.65,0.19,0.0
판매비,0.03,0.05,-0.45,-1.76,0.0
관리비,214.01,73.18,59.60,13.96,15.17
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-160.17,18.62,5.92,2.81,0.51
영업이익(발표기준),-160.17,18.62,5.92,2.81,0.51
금융수익,31.34,15.17,37.29,18.59,11.05
이자수익,1.99,6.75,6.01,0.37,1.83
배당금수익,0.0,0.0,5.02,1.97,0.38
외환이익,0.0,4.00,10.09,0.04,5.83
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.04,0.00,0.0
금융자산평가이익,0.0,0.05,16.13,15.94,3.00
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,29.35,4.37,0.0,0.27,0.0
금융원가,0.34,4.06,1.88,3.19,1.49
이자비용,0.34,0.13,0.14,0.05,0.06
외환손실,0.0,3.79,0.31,0.05,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.50,0.0,0.0
금융자산평가손실,0.0,0.14,0.0,3.08,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.93,0.0,1.43
기타수익,12.53,1.47,5.03,0.18,0.90
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,12.13,1.19,5.01,0.18,0.89
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.22,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.40,0.06,0.02,0.00,0.01
기타비용,19.28,1.94,1.29,0.20,0.34
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,3.11,1.73,0.91,0.20,0.30
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,10.00,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.49,0.00,0.38,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.84,0.16,0.0,0.0,0.0
기타,3.84,0.05,0.0,0.0,0.03
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-135.91,29.27,45.07,18.19,10.63
법인세비용,0.11,0.36,0.14,0.02,0.03
계속영업이익,-136.02,28.91,44.93,18.17,10.59
중단영업이익,-17.45,-2.68,-0.97,0.0,-0.11
당기순이익,-153.46,26.23,43.97,18.17,10.48
지배주주순이익,-153.46,26.23,43.97,18.17,10.48
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
