IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,8.60,1.77,14.35,0.0,0.0
매출원가,1.12,0.47,0.12,0.0,0.0
매출총이익,7.48,1.29,14.23,0.0,0.0
판매비와관리비,88.87,97.01,64.95,0.0,0.0
인건비,14.33,15.99,13.53,0.0,0.0
유무형자산상각비,2.74,3.05,2.91,0.0,0.0
연구개발비,62.98,66.23,41.41,0.0,0.0
광고선전비,0.10,0.16,0.05,0.0,0.0
판매비,0.06,0.03,0.00,0.0,0.0
관리비,8.66,9.00,7.04,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,2.55,0.0,0.0,0.0
영업이익,-81.39,-95.71,-50.72,0.0,0.0
영업이익(발표기준),-81.39,-95.71,-50.72,0.0,0.0
금융수익,48.11,6.93,7.73,0.0,0.0
이자수익,1.54,2.65,0.32,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,18.61,4.28,7.39,0.0,0.0
기타금융수익,27.96,0.0,0.02,0.0,0.0
금융원가,16.89,24.41,134.33,0.0,0.0
이자비용,7.64,11.31,10.17,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,9.25,1.05,121.85,0.0,0.0
기타금융원가,0.0,12.05,2.31,0.0,0.0
기타수익,0.53,0.26,0.36,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.05,0.01,0.14,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.09,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.03,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.40,0.25,0.19,0.0,0.0
기타비용,0.0,0.0,0.37,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.35,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.03,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-49.64,-112.93,-177.34,0.0,0.0
법인세비용,-0.49,0.09,0.0,0.0,0.0
계속영업이익,-49.15,-113.02,-177.34,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-49.15,-113.02,-177.34,0.0,0.0
