IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,709.75,280.14,580.35,261.32,16.45
매출원가,422.77,180.06,307.61,142.26,5.96
매출총이익,286.98,100.08,272.74,119.07,10.49
판매비와관리비,147.31,116.91,205.16,35.27,34.80
인건비,81.46,59.30,94.48,18.00,18.34
유무형자산상각비,5.76,6.50,7.95,2.76,1.72
연구개발비,40.37,18.37,10.24,3.57,4.50
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.51,11.78,71.01,5.80,5.07
관리비,0.0,0.0,0.0,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,19.20,20.97,21.48,5.14,5.17
영업이익,139.67,-16.83,67.58,83.79,-24.31
영업이익(발표기준),139.67,-16.83,67.58,83.79,-24.31
금융수익,72.60,42.56,109.10,12.76,31.89
이자수익,7.96,14.41,13.94,7.33,4.08
배당금수익,0.00,0.00,0.00,0.0,0.0
외환이익,57.75,14.43,83.61,4.13,26.06
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,4.79,10.71,11.54,0.84,-0.10
금융자산평가이익,1.47,2.49,0.0,0.45,1.85
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.63,0.51,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,24.92,14.25,15.73,5.59,2.57
이자비용,0.06,0.53,0.54,0.14,0.32
외환손실,21.35,7.62,13.22,5.16,2.25
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.20,0.27,0.0
금융자산평가손실,2.82,0.0,0.04,0.02,0.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.68,6.10,1.72,0.0,0.00
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,2.22,0.55,1.04,0.06,0.63
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.41,0.02,0.01,0.0,0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.81,0.54,1.03,0.06,0.62
기타비용,0.12,0.21,3.13,0.01,0.12
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.11,0.11,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,3.00,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.10,0.13,0.01,0.12
"종속기업,공동지배기업및관계기업관련손익",-3.15,-8.11,-9.77,0.63,2.23
지분법손익,-3.15,-8.11,-9.77,0.63,2.23
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,186.31,3.71,149.09,91.65,7.74
법인세비용,27.49,-13.12,15.21,18.69,-6.39
계속영업이익,158.82,16.83,133.89,72.96,14.13
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,158.82,16.83,133.89,72.96,14.13
지배주주순이익,161.18,16.29,136.24,73.43,14.97
비지배주주순이익,-2.36,0.54,-2.36,-0.48,-0.85
