IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,699.23","2,781.89","3,136.46",806.86,777.12
매출원가,"1,751.01","1,773.50","1,950.02",487.08,481.69
매출총이익,948.22,"1,008.39","1,186.44",319.78,295.43
판매비와관리비,669.79,781.93,"1,025.58",275.61,250.58
인건비,271.31,330.02,465.98,121.44,109.03
유무형자산상각비,59.54,73.71,95.48,22.72,23.37
연구개발비,151.65,158.04,182.17,48.23,44.46
광고선전비,26.19,40.25,50.51,16.75,15.34
판매비,32.78,23.37,52.02,18.71,7.39
관리비,128.32,156.54,179.42,47.76,51.00
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,-0.00,0.0,0.0
영업이익,278.44,226.46,160.87,44.17,44.84
영업이익(발표기준),278.44,226.46,160.87,44.17,44.84
금융수익,77.17,100.83,161.35,25.86,43.06
이자수익,27.29,63.97,73.96,16.32,17.44
배당금수익,2.10,1.76,2.22,1.97,2.18
외환이익,44.05,27.63,73.59,6.48,21.79
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,5.79,8.22,0.34,0.35
금융자산평가이익,3.73,1.68,3.35,0.77,1.30
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,48.11,44.35,53.25,12.24,11.80
이자비용,6.02,18.74,24.11,5.55,5.61
외환손실,41.60,17.95,19.81,4.16,4.76
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,1.30,0.62,0.0,0.46
금융자산평가손실,0.49,6.36,8.72,2.54,0.96
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,24.61,21.08,21.08,8.04,1.71
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,6.08,6.75,1.53,1.71,0.17
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.46,0.29,0.67,3.50,0.17
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,6.73,0.0,0.0,0.0,0.0
기타,11.34,14.04,18.88,2.83,1.38
기타비용,122.84,14.76,125.02,3.61,0.06
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,13.24,1.35,1.30,0.00,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,3.55,10.65,122.77,0.0,0.03
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,106.04,2.77,0.95,3.61,0.02
"종속기업,공동지배기업및관계기업관련손익",1.96,-6.00,-4.65,-1.11,-1.77
지분법손익,1.96,-6.00,-4.65,-1.11,-1.77
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,211.24,283.27,160.37,61.11,75.99
법인세비용,68.36,30.50,31.68,12.02,16.59
계속영업이익,142.88,252.77,128.69,49.09,59.40
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,142.88,252.77,128.69,49.09,59.40
지배주주순이익,121.66,201.64,140.53,36.73,49.28
비지배주주순이익,21.23,51.13,-11.83,12.36,10.12
