IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"26,524.39","26,514.39","26,718.21","6,199.81","6,598.32"
매출원가,"22,385.55","21,871.35","21,607.69","5,059.34","5,396.35"
매출총이익,"4,138.84","4,643.05","5,110.52","1,140.47","1,201.96"
판매비와관리비,"3,318.68","3,511.05","3,775.29",899.66,914.53
인건비,893.54,985.32,"1,112.21",273.99,278.32
유무형자산상각비,239.43,241.28,240.86,57.43,61.55
연구개발비,60.97,68.76,69.95,7.87,8.29
광고선전비,106.98,155.24,152.49,33.74,25.63
판매비,"1,012.12",986.02,"1,035.34",243.20,245.25
관리비,936.98,"1,006.80","1,086.92",264.78,280.94
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,68.66,67.63,77.52,18.65,14.55
영업이익,820.16,"1,132.00","1,335.23",240.81,287.43
영업이익(발표기준),820.16,"1,132.00","1,335.23",240.81,287.43
금융수익,544.47,653.41,769.36,406.72,377.10
이자수익,63.63,149.79,139.83,33.60,33.71
배당금수익,219.67,269.53,330.84,224.32,241.66
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,17.97,0.0,25.61,0.0,8.02
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,243.20,234.09,273.08,148.80,93.71
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,448.06,517.87,384.62,231.30,100.06
이자비용,255.63,334.85,323.94,75.94,82.45
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,11.06,0.0,0.49,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,192.43,171.96,60.68,154.87,17.61
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,814.19,645.45,598.54,123.10,95.52
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,477.00,380.78,212.36,110.63,53.72
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,116.89,20.66,11.09,0.10,0.37
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,17.29,0.78,0.88,0.45,0.28
대손충당금환입,10.00,5.97,5.33,0.0,1.33
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,193.01,237.26,368.88,11.92,39.82
기타비용,768.41,434.92,580.69,99.87,140.48
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,675.86,404.78,458.75,96.51,139.29
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,5.43,5.28,12.52,0.29,0.33
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,40.03,0.0,50.45,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,47.09,24.86,58.97,3.07,0.86
"종속기업,공동지배기업및관계기업관련손익",10.47,20.00,10.90,1.62,2.09
지분법손익,0.0,0.0,0.0,1.62,2.09
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,10.47,20.00,10.90,0.0,0.0
세전계속사업이익,972.81,"1,498.08","1,748.72",441.08,521.60
법인세비용,150.34,278.11,384.31,103.87,109.04
계속영업이익,822.47,"1,219.97","1,364.41",337.21,412.56
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,822.47,"1,219.97","1,364.41",337.21,412.56
지배주주순이익,689.94,"1,068.78","1,214.74",336.18,396.20
비지배주주순이익,132.53,151.19,149.67,1.03,16.36
