IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,232.81,146.87,143.03,45.55,41.31
매출원가,110.89,85.63,95.58,24.64,25.32
매출총이익,121.92,61.23,47.45,20.90,15.99
판매비와관리비,89.12,75.73,74.34,23.04,19.38
인건비,47.64,37.89,37.98,13.52,9.02
유무형자산상각비,6.47,7.97,7.58,1.89,1.93
연구개발비,11.75,10.86,11.66,3.73,2.95
광고선전비,0.0,0.0,0.81,0.0,0.27
판매비,6.01,1.01,2.65,-0.27,0.43
관리비,17.25,18.01,13.65,4.17,4.77
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,32.80,-14.50,-26.88,-2.14,-3.39
영업이익(발표기준),32.80,-14.50,-26.88,-2.14,-3.39
금융수익,34.43,17.43,9.79,8.81,3.39
이자수익,2.98,3.17,4.52,1.31,1.27
배당금수익,4.93,1.97,0.14,0.12,0.04
외환이익,7.48,2.95,4.96,0.44,1.81
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.35,2.11,0.08,0.0,0.0
금융자산평가이익,5.33,0.15,0.09,0.0,0.27
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,6.94,0.0
기타금융수익,13.35,7.08,0.0,0.0,0.0
금융원가,44.29,11.74,5.20,18.74,1.68
이자비용,13.60,4.61,3.95,1.47,1.05
외환손실,3.83,3.03,0.69,0.59,0.07
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,6.68,4.05,0.56,0.21,0.56
금융자산평가손실,0.31,0.04,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,19.88,0.0,0.0,16.47,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,4.71,5.10,8.87,0.10,0.30
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.02,2.17,0.72,0.03,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.70,2.94,8.15,0.06,0.30
기타비용,0.21,5.98,1.52,0.04,0.08
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.06,0.0,0.97,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.46,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.14,5.98,0.09,0.04,0.08
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,27.44,-9.69,-14.96,-12.01,-1.46
법인세비용,-3.84,-3.09,2.23,0.31,0.42
계속영업이익,31.28,-6.60,-17.19,-12.32,-1.88
중단영업이익,-32.48,-30.26,0.0,0.0,0.0
당기순이익,-1.19,-36.86,-17.19,-12.32,-1.88
지배주주순이익,-1.19,-36.86,-17.19,-12.32,-1.88
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
