IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,731.84,757.71,845.46,179.71,232.34
매출원가,720.26,684.47,726.34,175.09,177.35
매출총이익,11.58,73.25,119.12,4.62,55.00
판매비와관리비,65.09,51.25,61.15,16.24,16.74
인건비,31.33,27.21,40.33,10.94,10.98
유무형자산상각비,2.08,2.73,2.80,0.78,0.59
연구개발비,17.89,10.03,6.15,1.56,2.42
광고선전비,0.0,0.0,0.10,0.01,0.20
판매비,0.23,0.61,0.02,0.00,0.01
관리비,13.57,10.65,11.75,2.94,2.53
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-53.51,22.00,57.97,-11.62,38.25
영업이익(발표기준),-53.51,22.00,57.97,-11.62,38.25
금융수익,20.67,34.37,20.73,4.13,3.32
이자수익,18.19,12.30,18.78,3.63,3.14
배당금수익,2.19,2.19,1.46,0.0,0.0
외환이익,0.29,7.72,0.49,0.50,0.18
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,12.16,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,15.58,2.87,0.50,0.00,0.51
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,1.20,2.87,0.50,0.00,0.51
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,14.38,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.01,1.83,5.67,0.17,0.20
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.53,0.00,0.13,0.0,0.13
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.02,0.02,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.46,1.80,5.54,0.17,0.07
기타비용,0.06,0.69,0.13,0.0,0.11
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.68,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.06,0.01,0.13,0.0,0.11
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-47.47,54.63,83.74,-7.31,41.15
법인세비용,-4.27,6.62,-5.22,-2.17,-0.06
계속영업이익,-43.20,48.01,88.96,-5.14,41.22
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-43.20,48.01,88.96,-5.14,41.22
