IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,275.68,337.32,316.29,74.93,78.89
매출원가,126.94,145.40,178.01,22.77,26.47
매출총이익,148.73,191.92,138.28,52.16,52.42
판매비와관리비,112.92,139.21,185.85,29.81,39.38
인건비,40.15,44.46,56.88,13.60,12.49
유무형자산상각비,4.67,5.44,6.00,1.62,1.54
연구개발비,23.48,32.33,34.23,7.66,6.95
광고선전비,23.28,24.91,32.92,5.63,10.06
판매비,6.43,9.93,35.02,-6.77,1.90
관리비,12.03,18.74,17.12,5.73,5.42
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.88,3.40,3.68,2.34,1.02
영업이익,35.81,52.71,-47.57,22.35,13.04
영업이익(발표기준),35.81,52.71,-47.57,22.35,13.04
금융수익,31.58,20.20,15.75,2.39,3.89
이자수익,2.00,3.75,3.48,1.02,0.56
배당금수익,0.24,0.23,0.20,0.0,0.0
외환이익,0.0,2.60,5.53,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,24.18,2.37,6.42,0.0,1.82
금융자산평가이익,0.19,5.59,0.13,1.37,1.51
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,4.96,5.67,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,27.04,26.88,37.00,0.23,2.48
이자비용,1.18,4.20,0.46,0.0,0.00
외환손실,0.0,2.66,1.61,0.0,0.0
대손상각비,0.0,0.0,0.24,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,5.07,12.32,7.60,0.0,0.06
금융자산평가손실,12.84,2.51,27.09,0.23,2.42
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,7.96,5.19,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,6.41,46.95,3.30,0.73,5.71
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.44,0.0,0.0,0.39,1.54
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,2.40,0.11,0.05,0.03,0.02
자산평가이익,0.0,46.21,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.03,0.03,0.03,0.00,0.01
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.54,0.60,3.21,0.31,4.14
기타비용,4.84,0.14,2.46,4.78,0.79
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,4.25,0.0,0.0,0.97,0.56
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.18,0.0,0.06
자산평가손실,0.09,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.50,0.14,2.28,3.81,0.16
"종속기업,공동지배기업및관계기업관련손익",3.72,3.41,0.0,0.0,0.0
지분법손익,3.72,3.41,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,45.63,96.25,-67.98,20.47,19.38
법인세비용,9.23,13.79,-13.13,3.31,3.37
계속영업이익,36.40,82.46,-54.86,17.16,16.00
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,36.40,82.46,-54.86,17.16,16.00
지배주주순이익,36.45,82.25,-54.54,17.21,16.01
비지배주주순이익,-0.04,0.22,-0.32,-0.05,-0.00
