IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,98.78,99.75,103.83,31.70,31.85
매출원가,32.42,37.83,35.55,10.81,16.68
매출총이익,66.36,61.93,68.28,20.89,15.17
판매비와관리비,103.27,97.06,82.92,17.72,20.95
인건비,47.31,41.70,40.80,10.00,10.51
유무형자산상각비,6.10,3.11,3.17,0.78,0.87
연구개발비,1.45,1.90,0.81,0.04,0.18
광고선전비,1.09,4.19,2.66,0.61,1.66
판매비,1.10,0.87,2.77,-1.22,0.09
관리비,46.22,45.29,32.71,7.51,7.65
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-36.91,-35.13,-14.64,3.17,-5.78
영업이익(발표기준),-36.91,-35.13,-14.64,3.17,-5.78
금융수익,17.38,19.28,5.18,0.46,1.81
이자수익,2.83,2.17,0.65,0.09,0.19
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.36,3.68,3.88,0.37,0.97
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,3.20,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,10.18,10.24,0.65,0.0,0.65
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,207.65,36.73,11.56,0.68,3.89
이자비용,25.19,27.52,5.87,0.30,3.71
외환손실,3.88,1.65,0.58,0.39,0.07
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,17.59,3.64,5.00,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,160.99,0.0,0.11,0.0,0.11
기타금융원가,0.0,3.92,0.0,0.0,0.0
기타수익,13.24,3.08,15.27,0.01,0.86
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,10.40,0.91,12.99,0.0,0.30
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,2.02,0.0,0.50
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,1.31,0.05,0.20,0.0,0.05
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.53,2.12,0.05,0.01,0.01
기타비용,19.21,17.51,50.89,0.01,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,16.90,15.00,45.50,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,2.29,5.38,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.31,0.22,0.01,0.01,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-233.15,-67.01,-56.65,2.94,-6.99
법인세비용,0.20,0.08,-0.01,0.02,0.01
계속영업이익,-233.36,-67.09,-56.64,2.93,-7.01
중단영업이익,0.0,-1.56,-13.05,-0.14,-1.06
당기순이익,-233.36,-68.65,-69.69,2.79,-8.07
지배주주순이익,-232.65,-68.17,-69.50,2.79,-7.96
비지배주주순이익,-0.70,-0.47,-0.19,-0.01,-0.11
