IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,508.52,483.10,600.39,152.16,157.34
매출원가,412.39,426.00,498.96,119.36,128.63
매출총이익,96.12,57.10,101.43,32.80,28.71
판매비와관리비,70.01,86.01,80.58,17.60,23.89
인건비,34.17,34.29,31.63,0.0,0.0
유무형자산상각비,3.43,2.72,2.30,0.0,0.0
연구개발비,3.67,2.42,2.66,0.0,0.0
광고선전비,0.08,0.10,0.81,0.0,0.0
판매비,1.47,3.00,3.84,0.0,0.0
관리비,26.77,43.22,38.95,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.42,0.27,0.39,17.60,23.89
영업이익,26.12,-28.91,20.84,15.20,4.82
영업이익(발표기준),26.12,-28.91,20.84,15.20,4.82
금융수익,40.41,54.06,50.02,0.31,8.25
이자수익,1.42,4.12,3.53,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,5.19,30.69,16.41,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,33.80,18.99,28.34,0.0,0.0
기타금융수익,0.0,0.27,1.73,0.31,8.25
금융원가,181.35,94.99,110.44,16.26,21.04
이자비용,52.19,56.98,37.61,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,55.35,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,122.95,38.01,11.99,0.0,0.0
기타금융원가,6.20,0.0,5.48,16.26,21.04
기타수익,53.50,31.76,60.69,1.46,15.97
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,51.02,18.66,37.73,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.21,0.88,0.11,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.27,12.23,22.86,1.46,15.97
기타비용,97.80,40.42,93.47,3.32,11.81
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,45.37,13.84,21.69,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.43,0.01,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,35.23,20.84,57.80,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,14.51,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.68,5.30,13.98,3.32,11.81
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-159.12,-78.49,-72.36,-2.60,-3.81
법인세비용,0.0,-1.85,6.94,0.39,0.0
계속영업이익,-159.12,-76.64,-79.30,-2.99,-3.81
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-159.12,-76.64,-79.30,-2.99,-3.81
지배주주순이익,-159.11,-76.64,-79.30,-2.99,-3.81
비지배주주순이익,-0.00,-0.00,-0.00,-0.00,-0.00
