IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,447.43,550.31,654.24,170.13,143.01
매출원가,151.07,195.80,221.58,61.22,37.97
매출총이익,296.36,354.50,432.65,108.90,105.04
판매비와관리비,215.90,240.38,288.28,87.94,75.30
인건비,66.06,69.96,101.10,36.77,23.27
유무형자산상각비,18.63,22.87,31.03,7.83,7.70
연구개발비,24.74,23.85,24.12,5.08,7.04
광고선전비,29.61,51.09,56.17,19.84,17.30
판매비,-0.80,0.16,1.60,0.59,-0.43
관리비,77.66,72.45,74.26,17.82,20.44
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,80.47,114.13,144.37,20.96,29.74
영업이익(발표기준),80.47,114.13,144.37,20.96,29.74
금융수익,112.41,63.39,72.40,105.34,9.41
이자수익,7.17,14.93,17.03,4.09,4.37
배당금수익,0.0,0.21,0.36,0.28,0.00
외환이익,0.09,0.11,6.39,0.33,1.41
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,6.67,11.00,3.11,0.64,0.83
금융자산평가이익,21.09,15.92,2.22,4.99,2.79
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,77.39,19.61,42.49,95.01,0.0
기타금융수익,0.0,1.60,0.80,0.0,0.0
금융원가,45.01,61.21,66.11,57.77,8.80
이자비용,16.22,23.07,22.34,2.32,5.97
외환손실,0.09,0.35,1.39,0.38,0.56
대손상각비,1.22,1.10,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,2.58,1.07,1.84,0.25,0.28
금융자산평가손실,13.74,32.36,8.52,6.69,2.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,11.16,3.25,22.87,48.14,0.0
기타금융원가,0.0,0.0,9.15,0.0,0.0
기타수익,32.12,84.70,2.37,1.09,0.27
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.17,0.28,0.03,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.15,0.0,0.08,0.01
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,31.95,84.27,2.34,1.01,0.26
기타비용,10.28,62.08,31.62,7.45,4.46
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.66,0.00,0.09,0.00,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.35,0.02,0.13,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,3.09,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,9.27,62.06,28.32,7.45,4.45
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,169.71,138.93,121.41,62.17,26.16
법인세비용,-2.67,37.00,11.03,6.70,-1.00
계속영업이익,172.38,101.93,110.38,55.47,27.16
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,172.38,101.93,110.38,55.47,27.16
지배주주순이익,169.84,91.88,105.45,52.30,25.56
비지배주주순이익,2.54,10.05,4.93,3.17,1.60
