IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,886.56,868.74,836.10,260.00,260.35
매출원가,696.41,706.22,727.89,243.58,203.13
매출총이익,190.14,162.52,108.21,16.42,57.22
판매비와관리비,85.12,98.99,126.85,30.93,29.28
인건비,23.03,32.24,37.02,10.73,8.88
유무형자산상각비,3.48,4.49,6.42,1.96,1.52
연구개발비,27.14,27.99,27.35,6.20,5.44
광고선전비,0.59,0.80,0.75,0.73,0.35
판매비,11.45,7.39,23.83,3.84,6.95
관리비,19.02,25.74,30.70,7.44,6.03
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.41,0.34,0.78,0.02,0.10
영업이익,105.03,63.53,-18.64,-14.51,27.94
영업이익(발표기준),105.03,63.53,-18.64,-14.51,27.94
금융수익,0.23,1.51,1.24,1.42,0.42
이자수익,0.23,1.51,1.24,1.42,0.42
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,12.20,23.20,27.26,6.16,7.09
이자비용,12.20,23.20,27.26,6.16,7.09
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,24.48,13.30,30.60,4.56,6.25
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,17.69,10.81,29.07,4.01,5.98
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.01,0.01,0.0,0.19,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,6.78,2.47,1.53,0.36,0.27
기타비용,17.02,19.90,12.83,3.30,8.41
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,16.39,10.99,4.93,2.24,2.11
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,7.00,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,5.71,0.0,5.33
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,-0.02,-0.02,0.02,-0.01
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.63,1.93,2.20,1.03,0.98
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,100.53,35.25,-26.89,-17.99,19.11
법인세비용,9.99,-0.50,-3.22,0.45,1.55
계속영업이익,90.53,35.75,-23.67,-18.44,17.56
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,90.53,35.75,-23.67,-18.44,17.56
지배주주순이익,90.53,35.75,-23.67,-18.44,17.56
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
