IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,903.91,694.13,668.94,181.65,159.61
매출원가,515.72,416.00,388.34,108.29,96.62
매출총이익,388.19,278.13,280.61,73.36,63.00
판매비와관리비,294.85,254.89,265.34,60.56,55.51
인건비,80.22,68.50,67.42,17.26,17.25
유무형자산상각비,19.14,17.90,15.50,3.94,3.81
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,51.80,56.76,64.43,13.12,9.61
판매비,93.00,57.93,61.43,11.58,12.20
관리비,49.29,52.44,55.13,14.21,12.26
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.38,1.37,1.44,0.46,0.37
영업이익,93.35,23.24,15.26,12.79,7.49
영업이익(발표기준),93.35,23.24,15.26,12.79,7.49
금융수익,18.26,17.13,8.74,17.12,2.66
이자수익,3.36,7.45,5.30,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.84,2.44,3.44,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,7.24,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,12.06,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,17.12,2.66
금융원가,21.38,4.91,7.08,17.61,0.08
이자비용,2.73,1.12,0.25,0.0,0.0
외환손실,6.40,3.77,1.51,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,5.32,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,12.25,0.03,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,17.61,0.08
기타수익,12.86,11.37,14.37,1.69,2.34
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,9.59,4.85,12.50,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.41,1.84,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,1.48,1.68,1.68,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.38,3.01,0.18,1.69,2.34
기타비용,8.77,3.04,9.02,1.08,0.42
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,6.22,2.84,2.39,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.22,0.00,0.02,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.29,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,-0.02,-0.01,5.41,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.35,0.20,0.93,1.08,0.42
"종속기업,공동지배기업및관계기업관련손익",-33.09,-22.81,-7.00,0.0,-6.39
지분법손익,-33.09,-22.81,-7.00,0.0,-6.39
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,61.23,20.98,15.26,12.92,5.59
법인세비용,-40.34,11.34,10.26,2.93,3.63
계속영업이익,101.57,9.64,5.00,9.99,1.96
중단영업이익,-60.30,0.0,0.0,0.0,0.0
당기순이익,41.27,9.64,5.00,9.99,1.96
지배주주순이익,41.27,9.64,5.00,9.99,1.96
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
