IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,875.26,772.47,758.86,181.70,193.48
매출원가,760.27,657.61,688.10,173.65,168.31
매출총이익,114.98,114.86,70.76,8.05,25.17
판매비와관리비,65.78,71.50,74.45,31.81,19.37
인건비,36.63,43.23,45.11,15.39,11.07
유무형자산상각비,1.99,2.73,3.05,0.75,0.87
연구개발비,0.0,0.0,0.0,6.50,0.0
광고선전비,1.11,1.31,2.11,0.94,0.41
판매비,13.48,8.71,8.98,2.80,3.68
관리비,11.53,14.41,14.03,5.03,3.01
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.03,1.11,1.16,0.40,0.34
영업이익,49.20,43.36,-3.69,-23.76,5.79
영업이익(발표기준),49.20,43.36,-3.69,-23.76,5.79
금융수익,2.87,4.73,6.58,1.84,1.05
이자수익,2.87,4.48,6.57,1.84,1.05
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.26,0.01,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,15.38,21.44,16.34,3.23,5.18
이자비용,15.38,21.44,16.11,3.23,5.18
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.24,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,12.17,3.23,8.24,1.47,1.38
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,3.85,2.40,2.37,0.81,0.24
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,8.33,0.83,5.87,0.66,1.15
기타비용,10.47,3.33,8.84,0.30,0.31
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,4.28,2.30,2.50,0.19,0.12
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.01,0.0,0.09,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.06,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,6.19,0.97,6.34,0.02,0.19
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,38.39,26.57,-14.06,-23.97,2.74
법인세비용,-1.41,0.10,-3.13,0.37,-0.44
계속영업이익,39.80,26.47,-10.93,-24.34,3.17
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,39.80,26.47,-10.93,-24.34,3.17
지배주주순이익,39.97,26.30,-10.84,-24.28,3.10
비지배주주순이익,-0.16,0.16,-0.09,-0.06,0.07
