IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,740.53,624.13,"1,129.25",158.94,173.28
매출원가,562.31,475.28,871.20,128.17,146.68
매출총이익,178.21,148.85,258.05,30.77,26.60
판매비와관리비,133.86,189.42,178.99,48.72,38.14
인건비,47.53,51.32,55.07,16.10,12.33
유무형자산상각비,3.50,3.70,4.32,1.38,0.97
연구개발비,77.48,100.03,86.24,1.20,22.68
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-17.17,7.65,-1.47,19.75,-5.18
관리비,17.09,20.17,26.95,7.52,5.89
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,5.43,6.54,7.87,2.78,1.44
영업이익,44.35,-40.57,79.07,-17.95,-11.54
영업이익(발표기준),44.35,-40.57,79.07,-17.95,-11.54
금융수익,41.72,23.04,175.45,61.12,9.92
이자수익,2.17,8.08,21.43,3.94,1.97
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,39.52,14.96,37.60,7.25,7.95
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.02,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,116.42,49.93,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,102.87,84.77,564.43,68.51,86.03
이자비용,3.38,12.93,33.01,13.85,3.16
외환손실,14.12,9.84,14.58,8.68,2.02
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,2.50,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,85.37,62.00,510.87,44.10,80.85
기타금융원가,0.0,0.0,3.47,1.88,0.0
기타수익,2.15,7.30,1.18,0.63,0.20
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.07,0.12,0.00,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.59,0.66,0.66,0.17,0.17
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.49,6.52,0.52,0.46,0.04
기타비용,0.32,0.38,0.23,1.55,0.12
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.03,0.0,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.32,0.36,0.23,1.55,0.12
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-14.97,-95.38,-308.97,-26.26,-87.57
법인세비용,17.39,-3.08,-28.26,8.02,-0.06
계속영업이익,-32.36,-92.31,-280.70,-34.28,-87.51
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-32.36,-92.31,-280.70,-34.28,-87.51
지배주주순이익,-32.36,-92.31,-280.70,-34.28,-87.51
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
