IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,657.86,900.78,862.24,113.40,178.45
매출원가,635.80,843.24,758.21,116.90,160.12
매출총이익,22.07,57.54,104.03,-3.50,18.33
판매비와관리비,153.90,137.63,145.85,33.96,34.66
인건비,63.93,66.25,80.50,17.78,17.16
유무형자산상각비,16.16,21.12,21.86,5.28,6.68
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.43,1.11,0.32,0.06,0.07
판매비,0.0,0.0,0.0,0.0,0.0
관리비,27.94,27.76,23.17,5.50,6.37
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,45.44,21.39,20.01,5.34,4.36
영업이익,-131.83,-80.09,-41.82,-37.46,-16.33
영업이익(발표기준),-131.83,-80.09,-41.82,-37.46,-16.33
금융수익,8.26,24.45,39.17,5.13,0.35
이자수익,5.59,6.63,6.50,3.83,0.02
배당금수익,0.0,0.0,1.91,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,2.66,1.02,0.37,0.05,0.33
금융자산평가이익,0.0,16.80,1.15,1.26,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,29.24,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,44.23,9.72,28.86,6.92,2.85
이자비용,14.11,9.02,12.96,6.92,2.85
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,12.50,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,2.23,0.0,0.0,0.0,0.0
금융자산평가손실,21.75,0.70,2.11,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,5.65,0.0,1.29,0.0,0.0
기타금융원가,0.48,0.0,0.0,0.0,0.0
기타수익,14.52,5.71,11.96,2.54,2.69
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.38,2.53,7.05,0.76,1.60
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,5.21,0.32,3.08,0.26,0.44
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.12,0.15,0.25,0.07,0.05
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,7.81,2.71,1.58,1.45,0.59
기타비용,16.82,12.72,26.94,0.99,2.35
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,3.49,4.27,1.43,0.04,1.53
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.01,0.92,0.54,0.22,0.62
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,13.32,7.53,24.96,0.73,0.21
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-170.10,-72.37,-46.49,-37.69,-18.49
법인세비용,5.90,14.80,22.36,2.54,4.04
계속영업이익,-176.00,-87.17,-68.85,-40.23,-22.53
중단영업이익,0.0,4.37,2.32,0.0,1.81
당기순이익,-176.00,-82.80,-66.53,-40.23,-20.72
지배주주순이익,-175.94,-82.69,-66.30,-40.20,-20.71
비지배주주순이익,-0.06,-0.11,-0.22,-0.03,-0.00
