IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,180.38","1,206.85","1,328.25",353.33,289.13
매출원가,966.53,"1,079.20","1,121.07",308.79,240.85
매출총이익,213.85,127.65,207.18,44.54,48.28
판매비와관리비,110.43,110.73,125.93,33.69,29.38
인건비,44.79,49.04,58.92,16.25,12.95
유무형자산상각비,2.62,2.65,2.43,0.65,0.63
연구개발비,14.47,15.47,13.04,3.92,2.93
광고선전비,0.0,0.0,0.51,0.0,0.0
판매비,24.02,11.05,19.24,4.18,3.62
관리비,22.44,30.78,29.26,7.91,8.47
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.09,1.74,2.53,0.77,0.78
영업이익,103.42,16.92,81.26,10.85,18.90
영업이익(발표기준),103.42,16.92,81.26,10.85,18.90
금융수익,55.00,40.96,82.76,12.70,16.86
이자수익,3.55,2.38,2.69,0.40,0.23
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,43.98,22.71,44.53,3.44,11.99
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.25,0.35,0.0,0.0,0.0
금융자산평가이익,0.14,0.0,1.85,0.0,0.20
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,7.08,11.52,31.48,8.87,3.82
기타금융수익,0.01,3.99,2.20,0.0,0.62
금융원가,70.65,55.16,73.20,19.16,14.39
이자비용,25.25,34.70,38.08,10.42,8.11
외환손실,31.58,15.06,15.46,3.51,5.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,1.04,0.0,0.0,0.04,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,12.78,5.40,18.99,5.20,1.26
기타금융원가,0.0,0.0,0.68,0.0,0.0
기타수익,5.86,8.63,8.91,2.03,1.80
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.54,2.98,1.82,0.11,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,5.32,5.66,7.09,1.92,1.80
기타비용,11.30,12.88,20.99,0.33,0.90
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.03,0.84,0.72,0.11,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,5.36,3.39,0.07,0.02,0.03
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,5.90,8.64,20.20,0.20,0.87
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,82.33,-1.52,78.74,6.09,22.27
법인세비용,18.91,-2.98,8.41,0.75,3.32
계속영업이익,63.42,1.46,70.33,5.34,18.95
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,63.42,1.46,70.33,5.34,18.95
지배주주순이익,63.42,1.46,72.94,6.51,18.95
비지배주주순이익,0.0,0.0,-2.61,-1.18,0.0
