IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,131.22,285.84,455.32,45.40,35.65
매출원가,103.73,222.98,308.01,33.43,30.32
매출총이익,27.49,62.85,147.30,11.97,5.33
판매비와관리비,59.42,66.58,100.44,13.60,11.94
인건비,31.74,24.66,16.81,4.64,4.27
유무형자산상각비,1.20,2.35,3.66,0.97,0.90
연구개발비,0.13,0.0,0.0,0.0,0.0
광고선전비,0.18,4.12,11.59,1.96,0.93
판매비,0.89,4.67,1.61,0.59,0.79
관리비,23.95,29.84,64.92,5.16,4.46
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.33,0.95,1.84,0.28,0.59
영업이익,-31.93,-3.73,46.87,-1.63,-6.61
영업이익(발표기준),-31.93,-3.73,46.87,-1.63,-6.61
금융수익,7.13,5.04,27.84,1.57,1.80
이자수익,1.44,4.72,6.36,1.55,1.77
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,3.20,0.32,0.63,0.03,0.03
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,2.48,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,17.07,0.0,0.0
기타금융수익,0.0,0.0,3.78,0.0,0.0
금융원가,0.98,72.59,11.58,1.04,3.04
이자비용,0.88,7.24,10.97,0.91,2.98
외환손실,0.10,0.24,0.60,0.14,0.06
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,65.12,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,4.61,10.53,11.20,2.22,6.99
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,2.92,0.04,5.83,0.0,0.76
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,1.37,2.33,0.91,0.65
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.20,0.20,0.0,0.0,0.0
기타,1.49,8.92,3.05,1.31,5.58
기타비용,17.82,1.12,2.69,0.37,0.20
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.54,1.05,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,12.55,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.05,0.99,0.0,0.0
충당부채전입액,0.45,0.0,0.0,0.0,0.0
기타,4.83,0.53,0.65,0.37,0.20
"종속기업,공동지배기업및관계기업관련손익",0.0,0.77,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.77,0.0,0.0,0.0
세전계속사업이익,-38.98,-61.09,71.65,0.75,-1.06
법인세비용,2.46,-0.19,0.56,0.43,0.0
계속영업이익,-41.44,-60.91,71.08,0.32,-1.06
중단영업이익,0.65,-4.87,3.73,0.0,0.0
당기순이익,-40.79,-65.77,74.82,0.32,-1.06
지배주주순이익,-40.79,-65.77,74.82,0.32,-1.06
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
