IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,449.47,519.43,519.69,131.57,136.80
매출원가,327.70,379.11,351.84,87.34,91.73
매출총이익,121.77,140.32,167.85,44.23,45.07
판매비와관리비,82.26,91.19,98.22,23.30,22.33
인건비,29.78,33.61,37.99,8.83,8.89
유무형자산상각비,7.62,6.49,5.93,1.52,1.51
연구개발비,14.22,13.50,13.37,4.35,3.00
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,2.88,1.96,2.04,0.54,0.51
관리비,14.71,23.15,27.13,4.50,5.35
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,13.05,12.48,11.75,3.56,3.07
영업이익,39.51,49.13,69.63,20.93,22.75
영업이익(발표기준),39.51,49.13,69.63,20.93,22.75
금융수익,30.49,29.35,35.89,13.36,6.17
이자수익,5.81,11.77,9.91,2.53,2.48
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,21.42,11.11,23.42,3.62,2.82
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.05,0.0,1.24,0.0,0.0
금융자산평가이익,0.0,0.68,0.06,0.15,0.48
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,3.20,5.79,1.26,7.06,0.40
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,39.93,29.67,28.81,7.07,6.24
이자비용,10.50,15.50,12.97,1.74,3.78
외환손실,10.67,9.08,7.14,2.18,1.59
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.16,0.03,0.04,0.0,0.0
금융자산평가손실,0.96,0.92,0.37,0.02,0.01
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,17.64,4.14,7.00,3.12,0.86
기타금융원가,0.0,0.0,1.29,0.0,0.0
기타수익,32.97,9.27,12.07,14.43,1.67
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,20.24,1.79,0.76,0.14,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,10.06,6.67,6.55,1.80,1.45
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,3.55,12.25,0.0
충당부채환입액,0.00,0.0,0.02,0.0,0.0
기타,2.67,0.80,1.19,0.24,0.21
기타비용,7.72,5.17,5.12,0.99,0.54
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.05,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,4.52,1.08,0.03,0.08,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.36,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.87,0.36,2.27,0.0,0.0
충당부채전입액,0.0,0.01,0.0,0.23,0.0
기타,1.29,3.71,2.46,0.68,0.54
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,55.32,52.91,83.66,40.66,23.81
법인세비용,8.75,14.00,8.34,4.02,4.82
계속영업이익,46.57,38.91,75.32,36.63,18.99
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,46.57,38.91,75.32,36.63,18.99
지배주주순이익,46.49,39.55,75.85,36.77,18.99
비지배주주순이익,0.08,-0.65,-0.53,-0.13,0.00
