IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,605.41,686.99,733.46,0.0,0.0
매출원가,436.46,495.75,523.70,0.0,0.0
매출총이익,168.96,191.24,209.76,0.0,0.0
판매비와관리비,136.67,142.05,157.36,0.0,0.0
인건비,31.12,35.85,46.00,0.0,0.0
유무형자산상각비,2.72,3.94,5.20,0.0,0.0
연구개발비,5.88,4.58,5.05,0.0,0.0
광고선전비,8.43,7.69,9.66,0.0,0.0
판매비,57.96,57.09,47.18,0.0,0.0
관리비,29.14,31.02,41.40,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.42,1.88,2.87,0.0,0.0
영업이익,32.29,49.19,52.40,0.0,0.0
영업이익(발표기준),32.29,49.19,52.40,0.0,0.0
금융수익,10.31,11.56,12.81,0.0,0.0
이자수익,3.19,4.09,5.17,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,6.79,6.14,7.22,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.01,0.20,0.0,0.0
금융자산평가이익,0.24,0.01,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.09,1.32,0.22,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,27.64,25.66,16.91,0.0,0.0
이자비용,16.47,21.08,15.12,0.0,0.0
외환손실,4.66,4.07,1.77,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.16,0.0,0.0,0.0
금융자산평가손실,0.36,0.0,0.02,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.54,0.35,0.0,0.0,0.0
기타금융원가,5.60,0.0,0.0,0.0,0.0
기타수익,12.04,2.13,29.93,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,8.63,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.41,2.13,29.93,0.0,0.0
기타비용,1.11,1.27,24.72,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,9.25,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.11,1.27,15.47,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,25.88,35.95,53.52,0.0,0.0
법인세비용,3.35,2.26,12.40,0.0,0.0
계속영업이익,22.53,33.69,41.12,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,22.53,33.69,41.12,0.0,0.0
지배주주순이익,0.0,33.69,41.12,0.0,0.0
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
