IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,267.58,222.68,240.10,76.76,47.31
매출원가,228.62,192.30,208.16,66.82,40.78
매출총이익,38.96,30.39,31.94,9.95,6.53
판매비와관리비,79.78,93.55,82.98,18.86,22.44
인건비,41.41,43.67,38.60,9.26,9.91
유무형자산상각비,4.90,5.46,5.12,1.20,1.37
연구개발비,16.91,22.94,20.87,5.01,5.59
광고선전비,1.81,2.85,3.02,0.22,0.60
판매비,1.15,2.94,2.03,0.44,1.32
관리비,13.60,15.69,13.34,2.72,3.66
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-40.82,-63.16,-51.04,-8.91,-15.91
영업이익(발표기준),-40.82,-63.16,-51.04,-8.91,-15.91
금융수익,13.49,2.75,2.58,0.32,0.93
이자수익,0.78,1.72,2.57,0.32,0.93
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.02,0.03,0.00,0.00,0.00
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.00,0.0,0.00
금융자산평가이익,0.00,0.00,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,12.65,1.00,0.0,0.0,0.0
기타금융수익,0.03,0.00,0.0,0.0,0.0
금융원가,14.28,4.80,2.07,0.36,0.70
이자비용,14.13,4.37,2.07,0.36,0.70
외환손실,0.14,0.02,0.00,0.0,0.00
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.00,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.01,0.00,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.39,0.0,0.0,0.0
기타금융원가,0.00,0.01,0.0,0.0,0.0
기타수익,1.14,0.47,0.72,0.07,0.10
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.13,0.0,0.35,0.0,0.0
기타,1.01,0.47,0.36,0.07,0.10
기타비용,0.17,23.60,0.81,0.00,0.08
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.14,0.0,0.31,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.04,23.60,0.50,0.00,0.08
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-40.65,-88.33,-50.62,-8.88,-15.65
법인세비용,0.0,-0.58,0.08,0.16,0.0
계속영업이익,-40.65,-87.75,-50.70,-9.04,-15.65
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-40.65,-87.75,-50.70,-9.04,-15.65
