IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,394.65","3,050.43","2,577.69",433.50,466.98
매출원가,"1,374.64","1,826.52","1,583.42",254.09,291.86
매출총이익,"1,020.02","1,223.91",994.27,179.41,175.12
판매비와관리비,866.59,"1,116.65","1,188.71",299.80,268.57
인건비,372.13,392.22,412.43,93.72,97.48
유무형자산상각비,53.62,58.36,62.43,15.94,15.38
연구개발비,235.89,378.64,419.59,121.94,96.62
광고선전비,20.38,24.65,21.19,5.27,2.48
판매비,28.18,47.76,53.73,8.87,7.71
관리비,152.19,199.89,200.78,50.22,45.54
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,4.21,15.12,18.56,3.85,3.37
영업이익,153.43,107.26,-194.44,-120.39,-93.46
영업이익(발표기준),153.43,107.26,-194.44,-120.39,-93.46
금융수익,34.14,40.71,113.63,11.15,19.30
이자수익,8.65,23.40,35.29,3.95,12.20
배당금수익,0.66,0.0,0.0,3.83,0.0
외환이익,0.0,0.0,0.01,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.55,7.29,2.07,0.96,1.17
금융자산평가이익,24.28,10.02,76.26,2.41,5.93
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,64.66,67.04,71.28,20.44,15.83
이자비용,15.58,58.67,58.40,13.15,14.75
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.31,0.45,0.23,0.45,0.0
금융자산평가손실,16.21,6.42,11.24,6.66,0.90
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,31.42,0.12,0.0,0.0,0.0
기타금융원가,1.15,1.39,1.41,0.18,0.17
기타수익,174.49,103.75,204.90,12.31,57.79
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,161.27,101.52,197.75,11.94,52.38
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.07,0.15,4.67,0.01,4.63
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,13.15,2.09,2.48,0.36,0.78
기타비용,129.38,113.12,75.18,23.73,8.29
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,116.10,102.49,57.53,22.96,8.27
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,1.85,0.11,0.26,-0.18
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.14,0.21,0.04,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,5.56,3.34,11.38,0.0,0.07
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.06,0.63,0.12,0.08
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,7.57,5.16,5.50,0.39,0.05
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,168.03,71.56,-22.37,-141.09,-40.49
법인세비용,7.73,16.24,7.74,0.23,8.22
계속영업이익,160.29,55.32,-30.12,-141.32,-48.72
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,160.29,55.32,-30.12,-141.32,-48.72
지배주주순이익,160.29,55.32,-30.12,-141.32,-48.72
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
