IFRS(연결),2022/06,2023/06,2024/06,2025/03,전년동기
매출액,296.14,332.47,313.02,257.87,241.35
매출원가,97.11,144.22,105.64,98.26,79.58
매출총이익,199.03,188.25,207.38,159.61,161.78
판매비와관리비,132.46,136.66,162.20,122.63,114.17
인건비,63.84,70.71,77.69,55.82,57.55
유무형자산상각비,5.84,4.45,7.43,7.29,4.69
연구개발비,27.54,24.75,28.29,25.45,20.73
광고선전비,4.25,5.18,3.90,3.00,3.20
판매비,-0.29,-0.05,9.42,0.72,0.14
관리비,27.20,27.07,31.02,27.59,25.00
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,4.08,4.55,4.45,2.76,2.86
영업이익,66.57,51.59,45.18,36.98,47.60
영업이익(발표기준),66.57,51.59,45.18,36.98,47.60
금융수익,6.18,5.32,7.06,5.57,5.22
이자수익,1.91,4.30,6.27,3.78,4.74
배당금수익,0.0,0.0,0.0,0.07,0.0
외환이익,0.45,0.33,0.32,0.78,0.18
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.30,0.95,0.30
금융자산평가이익,3.81,0.69,0.18,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.67,1.79,2.22,0.04,0.10
이자비용,0.01,0.0,0.0,0.0,0.0
외환손실,0.15,0.28,0.10,0.04,0.10
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.01,0.0,0.0,0.0
금융자산평가손실,0.52,1.51,2.12,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.94,2.29,1.48,1.39,1.31
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.18,0.04,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.56,1.12,0.73,0.84,0.45
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.17,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.38,0.82,0.71,0.55,0.86
기타비용,0.47,0.40,2.42,1.69,0.47
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.0,0.0,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.17,0.0,0.21,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.30,0.40,2.20,1.69,0.47
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,73.54,57.01,49.09,42.21,53.56
법인세비용,7.88,4.87,1.90,-3.07,9.44
계속영업이익,65.66,52.14,47.19,45.27,44.12
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,65.66,52.14,47.19,45.27,44.12
지배주주순이익,65.76,52.44,47.34,45.39,44.25
비지배주주순이익,-0.10,-0.30,-0.14,-0.11,-0.13
